Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G2,"Club Esportiu Laietà (Futbol 5) ""Blau""",Club Esportiu Laietà (Futbol 5),Nivell C,Divendres,Casa,1,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G2,Manyanet Sant Andreu,Manyanet Sant Andreu,Nivell B,Dissabte,1,2,"[1, 2]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G2,Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),Nivell C,Divendres,1,3,"[1, 2, 3, 4]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G2,"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),Nivell C,Divendres,4,4,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G2,"CE La Salle Gracia ""Groc""",CE La Salle Gracia,Nivell C,Divendres,5,5,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G2,Dummy 1,Dummy,Dummy,,,6,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G2,"ACE Sansur ""A""",ACE Sansur,Nivell C,Divendres,Casa,7,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G2,Futsal Dante,Futsal Dante,Nivell A,Divendres,Casa,8,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,Escola Pia Sant Miquel,Escola Pia Sant Miquel,Nivell C,Dissabte,1,1,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,"Col·legi Teresianes de Gràcia (A.E.V.G.) ""A""",Col·legi Teresianes de Gràcia (A.E.V.G.),Nivell E,Divendres,Fora,2,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),Nivell C,Dissabte,5,3,"[5, 6, 7]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,Col·legi SAFA Horta,Col·legi SAFA Horta,Nivell E,Dissabte,Fora,4,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,"Club Joventut Les Corts ""B""",Club Joventut Les Corts,Nivell B,Dissabte,Fora,5,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,EVEREST Prosperitat E,Escola de Futbol Sala Prosperitat,Nivell C,Dissabte,,6,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,"Escola Calderon de la Barca AMPA ""A""",Escola Calderon de la Barca AMPA,Nivell D,Divendres,8,7,[5]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,Club Esportiu Mediterrani,Club Esportiu Mediterrani,Nivell B,Divendres,Casa,8,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G5,Àngels Garriga SPOT,Àngels Roig SPOT,Nivell E,Divendres,1,1,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G5,Parc del Guinardó - Gestió Club,Futbol Club Martinenc,Nivell E,Divendres,Fora,2,[]
