Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,Artós Sports Club (FPC CET 10) A,Artós Sports Club (FPC CET 10),Nivell A,Divendres,1,1,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,Dummy 5,Dummy,Dummy,,,2,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,"Club Esportiu Jesús Maria ""B""",Club Esportiu Jesús Maria,Nivell B,Divendres,3,3,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,"EFS Vesuvi ""A""",Trinitat Unió Esportiva,Nivell C,Divendres,4,4,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell A,Divendres,Fora,5,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,Club Esportiu Mediterrani,Club Esportiu Mediterrani,Nivell C,Divendres,Casa,6,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,"Club Joventut Les Corts ""A""",Club Joventut Les Corts,Nivell A,Dissabte,Casa,7,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,"Escola Pia Sant Miquel ""V""",Escola Pia Sant Miquel,Nivell C,Divendres,1,8,"[6, 7]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,"Lycée Français de Gavà (Bon Soleil) ""B""",Lycée Français de Gavà (Bon Soleil),Nivell D,Dissabte,Casa,1,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,EVEREST Prosperitat P,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,2,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,"Jesuïtes Casp ""A""",Jesuïtes Casp,Nivell B,Dissabte,3,3,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),Nivell E,Dissabte,,4,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,"OAK House British School ""A""",OAK House British School,Nivell C,Divendres,5,5,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,Dummy 6,Dummy,Dummy,,,6,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,Escola Tabor (CEM Sagrada Familia),Escola Tabor (CEM Sagrada Familia),Nivell C,Dissabte,Casa,7,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,"Club Esportiu Terra Negra ""A""",Club Esportiu Terra Negra,Nivell E,Dissabte,Casa,8,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,"Escola Sant Josep Oriol ""A""",Escola Sant Josep Oriol,Nivell D,Divendres,Casa,1,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,"CE La Salle Gracia ""Negre""",CE La Salle Gracia,Nivell C,Divendres,1,2,"[1, 2]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,Dummy 3,Dummy,Dummy,,,3,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,Artós Sports Club (FPC CET 10) B,Artós Sports Club (FPC CET 10),Nivell C,Divendres,5,4,"[6, 7]"
