Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell B,Divendres,Casa,1,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),Nivell E,Dissabte,5,2,"[3, 4, 5, 6, 7]"
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,Dummy 1,Dummy,Dummy,,,3,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,"Pam Roig (FPC CET 10) ""A""",Pam Roig (FPC CET 10),Nivell E,Divendres,Fora,4,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,CE Vincit-Provençalenc D,CE Vincit-Provençalenc,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),Nivell E,Divendres,Casa,6,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell B,Divendres,7,7,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,"Artós Sports Club (FPC CET 10) ""B""",Artós Sports Club (FPC CET 10),Nivell E,Divendres,1,8,"[6, 7]"
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,"Escola de Futbol Sala Sant Marc de Sarrià ""A""",Escola de Futbol Sala Sant Marc de Sarrià,Nivell E,Divendres,Casa,1,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,Escola Pia Sant Miquel,Escola Pia Sant Miquel,Nivell C,Dissabte,1,2,"[1, 2]"
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,SantÍssima Trinitat (Hermanas Trinitarias),SantÍssima Trinitat (Hermanas Trinitarias),Nivell B,Dissabte,,3,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),Nivell C,Divendres,5,4,"[6, 7]"
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),Nivell E,Divendres,5,5,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,"OAK House British School ""A""",OAK House British School,Nivell D,Divendres,5,6,"[1, 2]"
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,"ACE Sansur ""A""",ACE Sansur,Nivell C,Dissabte,Casa,7,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,"CE La Salle Gracia ""Negre""",CE La Salle Gracia,Nivell C,Divendres,1,8,"[6, 7]"
