Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),Nivell A,Divendres,1,1,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,Manyanet Sant Andreu,Manyanet Sant Andreu,Nivell C,Dissabte,1,2,"[1, 2]"
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,Associació Esportiva Babar,Associació Esportiva Babar,Nivell C,Dissabte,,3,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,"CE La Salle Gracia ""Negre""",CE La Salle Gracia,Nivell C,Divendres,5,4,"[6, 7]"
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell A,Divendres,Fora,5,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,CE Vincit-Provençalenc D,CE Vincit-Provençalenc,Nivell C,Divendres,Casa,6,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,Dummy 1,Dummy,Dummy,,,7,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,"Club Esportiu Terra Negra ""A""",Club Esportiu Terra Negra,Nivell C,Dissabte,Casa,8,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,"Escola Costa i Llobera (AE Can Caralleu) ""Groc""",Escola Costa i Llobera (AE Can Caralleu),Nivell D,Divendres,1,1,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,"Club Esportiu Mediterrani ""A""",Club Esportiu Mediterrani,Nivell C,Dissabte,Fora,2,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,"IES Poeta Maragall ""A""",IES Poeta Maragall,Nivell E,Divendres,Fora,3,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,"Institut Ernest Lluch (AE L'Eixample) ""A""",Institut Ernest Lluch (AE L'Eixample),Nivell C,Divendres,4,4,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),Nivell E,Divendres,5,5,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,SantÍssima Trinitat (Hermanas Trinitarias),SantÍssima Trinitat (Hermanas Trinitarias),Nivell D,Dissabte,,6,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,EVEREST Prosperitat B,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,7,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,Escola Pia Sant Miquel,Escola Pia Sant Miquel,Nivell C,Dissabte,1,8,"[6, 7]"
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),Nivell D,Divendres,Casa,1,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,"ACE Sansur ""D""",ACE Sansur,Nivell C,Divendres,Fora,2,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,"AI Estel Vallseca ""A""",AI Estel Vallseca,Nivell E,Divendres,3,3,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,Futsal Dante,Futsal Dante,Nivell E,Divendres,Fora,4,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,"Sant Peter´s School ""C""",Sant Peter´s School,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,"OAK House British School ""A""",OAK House British School,Nivell D,Divendres,5,6,"[1, 2]"
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell C,Divendres,7,7,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,Institut Goya SPOT,Àngels Roig SPOT,Nivell E,Divendres,1,8,"[6, 7]"
