Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),Nivell A,Divendres,1,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,"Escola Pia Sant Miquel ""P""",Escola Pia Sant Miquel,Nivell C,Dissabte,1,2,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,"Jesuïtes Gràcia - Col·legi Kostka ""Verd""",Jesuïtes Gràcia - Col·legi Kostka,Nivell C,Dissabte,4,3,[5]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,"Escola Pia Balmes ""B""",Escola Pia Balmes,Nivell C,Divendres,4,4,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,CE Vincit-Provençalenc C,CE Vincit-Provençalenc,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,EVEREST Prosperitat A,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,6,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,Dummy 1,Dummy,Dummy,,,7,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G4,"Escola Calderon de la Barca AMPA ""A""",Escola Calderon de la Barca AMPA,Nivell D,Divendres,8,8,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,CE Vincit-Provençalenc B,CE Vincit-Provençalenc,Nivell B,Divendres,Casa,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,Escola Josep Mº Jujol (Valors IPP),Escola Josep Mº Jujol (Valors IPP),Nivell E,Divendres,Fora,2,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,"Escola Joan Miró (AE L'Eixample) ""A""",Escola Joan Miró (AE L'Eixample),Nivell C,Divendres,4,3,[5]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,"Escola Els Llorers (AE L'Eixample) ""A""",Escola Els Llorers (AE L'Eixample),Nivell D,Divendres,5,4,"[6, 7]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,"Escola Costa i Llobera (AE Can Caralleu) ""Negre""",Escola Costa i Llobera (AE Can Caralleu),Nivell C,Divendres,5,5,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,"Escola Nabí ""A""",Escola Nabí,Nivell C,Divendres,Casa,6,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,Dummy 2,Dummy,Dummy,,,7,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,"Escola Fructuós Gelabert (AE L'Eixample) ""A""",Escola Fructuós Gelabert (AE L'Eixample),Nivell D,Divendres,1,8,"[6, 7]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G3,"Escola Pia Sant Miquel ""S""",Escola Pia Sant Miquel,Nivell C,Dissabte,1,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G3,Manyanet Sant Andreu,Manyanet Sant Andreu,Nivell D,Dissabte,1,2,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G3,Escola Tabor (CEM Sagrada Familia),Escola Tabor (CEM Sagrada Familia),Nivell C,Dissabte,Fora,3,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G3,"CE La Salle Gracia ""Groc""",CE La Salle Gracia,Nivell C,Divendres,5,4,"[6, 7]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G3,"Sant Peter´s School ""C""",Sant Peter´s School,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G3,EVEREST Prosperitat F,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,6,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G3,Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),Nivell B,Dissabte,1,7,"[5, 6, 7]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G3,Escola Ntra Sra de Lurdes,Escola Ntra Sra de Lurdes,Nivell D,Dissabte,1,8,"[6, 7]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell C,Divendres,Casa,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,"OAK House British School ""A""",OAK House British School,Nivell C,Divendres,1,2,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,Col·legi Maristes Sants-Les Corts,Col·legi Maristes Sants-Les Corts,Nivell E,Divendres,Fora,3,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,Col·legi SAFA Horta,Col·legi SAFA Horta,Nivell E,Divendres,Fora,4,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),Nivell E,Divendres,5,5,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),Nivell D,Divendres,5,6,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,"ACE Sansur ""A""",ACE Sansur,Nivell C,Divendres,Casa,7,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,"Escola Sant Josep Oriol ""A""",Escola Sant Josep Oriol,Nivell D,Divendres,Casa,8,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,CE Vincit-Provençalenc A,CE Vincit-Provençalenc,Nivell C,Divendres,Casa,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,Dummy 3,Dummy,Dummy,,,2,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell C,Divendres,3,3,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,"Escola Carlit (AE L'Eixample) ""A""",Escola Carlit (AE L'Eixample),Nivell C,Divendres,5,4,"[6, 7]"
