Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell C,Dissabte,Casa,1,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,"FC Xavi ""A""",FC Xavi,Nivell A,Divendres,1,2,"[1, 2]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,CE La Salle Gracia,CE La Salle Gracia,Nivell C,Divendres,1,3,"[1, 2, 3, 4]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,EVEREST Prosperitat D,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,4,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,Dummy 4,Dummy,Dummy,,,5,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,"Jesuïtes El Clot-Escola del Clot ""B""",Jesuïtes El Clot-Escola del Clot,Nivell E,Divendres,6,6,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,"Artós Sports Club (FPC CET 10) ""B""",Artós Sports Club (FPC CET 10),Nivell C,Dissabte,1,7,"[5, 6, 7]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,"ACE Sansur ""A""",ACE Sansur,Nivell C,Dissabte,Casa,8,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G5,"Lycée Français de Gavà (Bon Soleil) ""C""",Lycée Français de Gavà (Bon Soleil),Nivell C,Dissabte,Casa,1,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G5,"FC Xavi ""B""",FC Xavi,Nivell A,Divendres,1,2,"[1, 2]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G5,Dummy 1,Dummy,Dummy,,,3,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G5,"Escola Joan Miró (AE L'Eixample) ""A""",Escola Joan Miró (AE L'Eixample),Nivell C,Divendres,4,4,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G5,"Club Joventut Les Corts ""A""",Club Joventut Les Corts,Nivell A,Dissabte,Fora,5,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G5,"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),Nivell B,Divendres,1,6,"[3, 4, 5, 6, 7]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G5,"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),Nivell D,Divendres,8,7,[5]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G5,"Jesuïtes Gràcia - Col·legi Kostka ""Negre""",Jesuïtes Gràcia - Col·legi Kostka,Nivell C,Dissabte,8,8,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G7,"Escola de Futbol Sala Sant Marc de Sarrià ""A""",Escola de Futbol Sala Sant Marc de Sarrià,Nivell D,Divendres,Casa,1,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G7,Club Esportiu Mediterrani,Club Esportiu Mediterrani,Nivell C,Divendres,Fora,2,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G7,CE Vincit-Provençalenc A,CE Vincit-Provençalenc,Nivell B,Divendres,Fora,3,[]
