Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell B,Dissabte,Casa,1,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),Nivell C,Divendres,5,2,"[3, 4, 5, 6, 7]"
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell C,Divendres,3,3,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,Dummy 1,Dummy,Dummy,,,4,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,"Sant Peter´s School ""C""",Sant Peter´s School,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,CE Vincit-Provençalenc A,CE Vincit-Provençalenc,Nivell D,Divendres,Casa,6,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,"ACE Sansur ""A""",ACE Sansur,Nivell A,Dissabte,Casa,7,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,Escola Pia Sant Miquel,Escola Pia Sant Miquel,Nivell C,Divendres,1,8,"[6, 7]"
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,"Escola de Futbol Sala Sant Marc de Sarrià ""A""",Escola de Futbol Sala Sant Marc de Sarrià,Nivell E,Divendres,Casa,1,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),Nivell D,Divendres,1,2,"[1, 2]"
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,"Escola Virolai ""A""",Escola Virolai,Nivell E,Divendres,3,3,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,"Institut Ernest Lluch (AE L'Eixample) ""A""",Institut Ernest Lluch (AE L'Eixample),Nivell C,Divendres,4,4,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,Dummy 2,Dummy,Dummy,,,5,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,"Institut Caterina Albert (FPC CET 10) ""A""",Institut Caterina Albert (FPC CET 10),Nivell E,Divendres,Casa,6,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),Nivell C,Dissabte,1,7,"[5, 6, 7]"
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,"Pam Roig (FPC CET 10) ""A""",Pam Roig (FPC CET 10),Nivell E,Divendres,Casa,8,[]
