Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G2,"Col·legi Sagrat Cor Esclaves ""Verd""",Col·legi Sagrat Cor Esclaves,Nivell A,Dissabte,1,1,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G2,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,2,2,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G2,"Escola de Volei Ciutat Vella (AECV) ""Groc""",Escola de Volei Ciutat Vella (AECV),Nivell D,Dissabte,3,3,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G2,"Voleibol Sant Just ""Blau""",Voleibol Sant Just,Nivell A,Diumenge,,4,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G2,"Escola Orlandai ""B""",Escola Orlandai,Nivell A,Dissabte,5,5,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G2,Club Voleibol Sant Martí,Club Voleibol Sant,Nivell A,Dissabte,6,6,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G2,Dummy 6,Dummy,Dummy,,,7,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G2,"Col·legi Padre Damian Sagrados Corazones ""A""",Col·legi Padre Damian Sagrados Corazones,Nivell B,Divendres,Casa,8,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,"Escola Sadako ""A""",Escola Sadako,Nivell B,Divendres,Casa,1,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,"Escola Fructuós Gelabert (AE L'Eixample) ""A""",Escola Fructuós Gelabert (AE L'Eixample),Nivell D,Divendres,2,2,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,3,3,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,"Volei els Arcs ""B""",Volei els Arcs,Nivell D,Divendres,3,4,[5]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,"Aula Escola Europea ""A""",Aula Escola Europea,Nivell C,Divendres,5,5,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,"Col·legi Sagrat Cor Diputació ""A""",Col·legi Sagrat Cor Diputació,Nivell C,Divendres,6,6,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,RMSI Sports,RMSI,Nivell C,Divendres,Casa,7,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,Dummy 7,Dummy,Dummy,,,8,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G6,"Escola Sant Gregori (AE L'Eixample) ""A""",Escola Sant Gregori (AE L'Eixample),Nivell C,Divendres,1,1,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G6,"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,Nivell C,Divendres,2,2,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G6,"Col·legi Sagrat Cor Sarrià ""B""",Col·legi Sagrat Cor Sarrià,Nivell B,Divendres,3,3,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G6,"Club Voleibol Barcelona-Barça ""B""",Club Voleibol Barcelona-Barça,Nivell A,Dissabte,Fora,4,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G6,Dummy 3,Dummy,Dummy,,,5,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G6,"CELH (A. Rumbau) ""Blau""",CELH (A. Rumbau),Nivell D,Dissabte,,6,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G6,Volei els Arcs,Volei els,Nivell A,Divendres,7,7,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G6,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell D,Divendres,8,8,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G7,"Col·legi Sagrat Cor Esclaves ""Blau""",Col·legi Sagrat Cor Esclaves,Nivell A,Dissabte,1,1,[]
