Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,"Aula Escola Europea ""A""",Aula Escola Europea,Nivell C,Divendres,1,1,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,"Club Esportiu Fabra i Coats MAQUI ""A""",Club Esportiu Fabra i Coats MAQUI,Nivell C,Divendres,2,2,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell C,Divendres,3,3,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,"Fundació Escola Teresianes Ganduxer ""A""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,3,4,[5]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,"Escola Orlandai ""A""",Escola Orlandai,Nivell A,Divendres,5,5,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,"Escola Sadako ""A""",Escola Sadako,Nivell C,Divendres,Fora,6,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,Volei els Arcs,Volei els,Nivell C,Divendres,7,7,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,Dummy 2,Dummy,Dummy,,,8,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G3,"Col·legi Sagrat Cor Esclaves ""A""",Col·legi Sagrat Cor Esclaves,Nivell A,Dissabte,1,1,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G3,"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,Nivell C,Divendres,2,2,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G3,"Col·legi Padre Damian Sagrados Corazones ""A""",Col·legi Padre Damian Sagrados Corazones,Nivell B,Divendres,Fora,3,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G3,Col·legi Santa Dorotea,Col·legi Santa,Nivell B,Divendres,Fora,4,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G3,"Escola Orlandai ""B""",Escola Orlandai,Nivell A,Divendres,5,5,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G3,Dummy 3,Dummy,Dummy,,,6,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G3,Dummy 4,Dummy,Dummy,,,7,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G3,"CE La Salle Bonanova ""A""",CE La Salle Bonanova,Nivell B,Divendres,1,8,"[6, 7]"
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,Dummy 5,Dummy,Dummy,,,1,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),Nivell E,Divendres,2,2,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,"La Salle Comtal ""A""",La Salle Comtal,Nivell E,Divendres,3,3,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell E,Divendres,4,4,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,"Escola Sant Josep Oriol ""A""",Escola Sant Josep Oriol,Nivell D,Divendres,Fora,5,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,6,6,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,"RMSI Sports ""A""",RMSI Sports,Nivell C,Divendres,Casa,7,[]
VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,Dummy 1,Dummy,Dummy,,,8,[]
