Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,"AEE Institut Icària (FPC CET 10) ""B""",AEE Institut Icària (FPC CET 10),Nivell C,Dissabte,1,1,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,"Club Voleibol Sant Martí ""B""",Club Voleibol Sant Martí,Nivell B,Dissabte,2,2,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,Dummy 5,Dummy,Dummy,,,3,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,"AEE Institut Jaume Balmes ""B""",AEE Institut Jaume Balmes,Nivell C,Dissabte,4,4,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,"Club Joventut Les Corts ""Groc""",Club Joventut Les Corts,Nivell D,Dissabte,5,5,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,"Club Esportiu Fabra i Coats ""B""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,6,6,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,RMSI Sports B,RMSI Sports,Nivell C,Dissabte,Casa,7,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,"AEE La Sedeta ""C""",AEE La Sedeta,Nivell A,Dissabte,8,8,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,"Escola Virolai ""A""",Escola Virolai,Nivell A,Divendres,1,1,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,"Fundació AMPA Lestonnac ""A""",Fundació AMPA Lestonnac,Nivell A,Divendres,2,2,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,"Club Voleibol Murs Montjuïc ""F""",Club Voleibol Murs Montjuïc,Nivell A,Dissabte,3,3,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,"Volei els Arcs ""A""",Volei els Arcs,Nivell B,Divendres,3,4,[5]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,"Escola Orlandai ""A""",Escola Orlandai,Nivell A,Dissabte,5,5,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,Dummy 2,Dummy,Dummy,,,6,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,"Col·legi Canigó ""A""",Col·legi Canigó,Nivell A,Dissabte,Fora,7,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,"AEE La Sedeta ""D""",AEE La Sedeta,Nivell A,Dissabte,8,8,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,"CE La Salle Bonanova ""Negre""",CE La Salle Bonanova,Nivell B,Dissabte,1,1,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,"AE Lycée Français ""B""",AE Lycée Français,Nivell B,Dissabte,2,2,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,"Club Voleibol Murs Montjuïc ""E""",Club Voleibol Murs Montjuïc,Nivell A,Dissabte,3,3,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,"Fundació Escola Teresianes Ganduxer ""A""",Fundació Escola Teresianes Ganduxer,Nivell B,Divendres,3,4,[5]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,Dummy 1,Dummy,Dummy,,,5,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,"Club Esportiu Fabra i Coats ""C""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,6,6,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,"CELH (A. Rumbau) ""Verd""",CELH (A. Rumbau),Nivell B,Dissabte,,7,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,"AEE La Sedeta ""A""",AEE La Sedeta,Nivell A,Dissabte,8,8,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,"Club Joventut Les Corts ""Verd""",Club Joventut Les Corts,Nivell D,Dissabte,1,1,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,"Col·legi Sagrat Cor Diputació ""A""",Col·legi Sagrat Cor Diputació,Nivell C,Divendres,2,2,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,"AEE Institut Montserrat ""B""",AEE Institut Montserrat,Nivell C,Dissabte,4,3,[5]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell C,Divendres,4,4,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,Institut Anna Gironella de Mundet,Institut Anna Gironella de,Nivell C,Divendres,,5,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,Nivell C,Divendres,6,6,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,"Escolapis Sarrià ""A""",Escolapis Sarrià,Nivell C,Divendres,Casa,7,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,"AEE La Sedeta ""H""",AEE La Sedeta,Nivell A,Divendres,8,8,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G6,"Col·legi Sagrat Cor Esclaves ""A""",Col·legi Sagrat Cor Esclaves,Nivell A,Divendres,1,1,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G6,Club Voleibol Sant Martí,Club Voleibol Sant,Nivell A,Dissabte,2,2,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G6,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell A,Divendres,2,3,"[3, 4]"
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G6,"AEE La Sedeta ""F""",AEE La Sedeta,Nivell A,Dissabte,4,4,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G6,"CEBLL (American School of Barcelona) ""A""",CEBLL (American School of Barcelona),Nivell B,Dissabte,Fora,5,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G6,Dummy 3,Dummy,Dummy,,,6,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G6,"Col·legi Madres Concepcionistes ""A""",Col·legi Madres Concepcionistes,Nivell B,Divendres,Casa,7,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G6,"AEE Institut Icària (FPC CET 10) ""A""",AEE Institut Icària (FPC CET 10),Nivell C,Dissabte,1,8,"[6, 7]"
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G7,Escola Sant Gregori (AE L'Eixample),Escola Sant Gregori (AE L'Eixample),Nivell C,Divendres,1,1,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G7,"AE Lycée Français ""A""",AE Lycée Français,Nivell B,Dissabte,2,2,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G7,"AEE Institut Jaume Balmes ""C""",AEE Institut Jaume Balmes,Nivell C,Divendres,4,3,[5]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G7,"AEE La Sedeta ""G""",AEE La Sedeta,Nivell A,Dissabte,4,4,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G7,Dummy 4,Dummy,Dummy,,,5,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G7,INS Vapor del Fil,INS Vapor del,Nivell C,Dissabte,6,6,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G7,"Club Voleibol Murs Montjuïc ""Blau""",Club Voleibol Murs Montjuïc,Nivell C,Dissabte,7,7,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G7,RMSI Sports A,RMSI Sports,Nivell C,Dissabte,Casa,8,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,"Col·legi Scala Dei ""A""",Col·legi Scala Dei,Nivell E,Divendres,1,1,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell D,Dissabte,2,2,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,"Volei els Arcs ""B""",Volei els Arcs,Nivell D,Divendres,3,3,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,"AEE Institut Montserrat ""A""",AEE Institut Montserrat,Nivell D,Dissabte,4,4,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,"CELH (A. Rumbau) ""Vermell""",CELH (A. Rumbau),Nivell D,Dissabte,,5,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,"Escola Avenç ""A""",Escola Avenç,Nivell D,Dissabte,Casa,6,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,Club Esportiu Jesús Maria A,Club Esportiu Jesús Maria,Nivell E,Divendres,7,7,[]
