Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,Dummy 3,Dummy,Dummy,,,1,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,"AEE Institut Josep Pla ""A""",AEE Institut Josep Pla,Nivell A,Divendres,2,2,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,"INS Martí Pous ""A""",INS Martí Pous,Nivell A,Divendres,,3,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,"Col·legi Padre Damian Sagrados Corazones ""A""",Col·legi Padre Damian Sagrados Corazones,Nivell A,Divendres,Fora,4,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,"Institut Quatre Cantons (FPC CET 10) ""A""",Institut Quatre Cantons (FPC CET 10),Nivell B,Divendres,Fora,5,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,Institut Salvador Espriu (FPC CET 10) A,Institut Salvador Espriu (FPC CET 10),Nivell A,Divendres,Casa,6,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,"Escola de Volei Ciutat Vella (AECV) ""Blau""",Escola de Volei Ciutat Vella (AECV),Nivell A,Dissabte,7,7,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,"AEE La Sedeta ""E""",AEE La Sedeta,Nivell A,Divendres,8,8,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G3,Escola Esportiva Pegaso-Viana - CV Sant Andreu C,Escola Esportiva Pegaso-Viana - CV Sant Andreu,Nivell C,Dissabte,1,1,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G3,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,2,2,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G3,"INS Vapor del Fil ""A""",INS Vapor del Fil,Nivell C,Dissabte,,3,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G3,Dummy 1,Dummy,Dummy,,,4,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G3,Escola Esportiva Pegaso-Viana- CV Sant Andreu A,Escola Esportiva Pegaso-Viana- CV Sant Andreu,Nivell C,Dissabte,5,5,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G3,Institut Anna Gironella de Mundet,Institut Anna Gironella de,Nivell A,Dissabte,,6,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G3,"Escola de Volei Ciutat Vella (AECV) ""Vermell""",Escola de Volei Ciutat Vella (AECV),Nivell C,Dissabte,7,7,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G3,"AEE La Sedeta ""B""",AEE La Sedeta,Nivell A,Dissabte,8,8,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,Col·legi Sant Miquel,Col·legi Sant,Nivell C,Divendres,1,1,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,"AEE Institut Josep Pla ""B""",AEE Institut Josep Pla,Nivell B,Divendres,2,2,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,"Escola de Volei Ciutat Vella (AECV) ""Negre""",Escola de Volei Ciutat Vella (AECV),Nivell B,Dissabte,3,3,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,"AEFS Arrels ""A""",AEFS Arrels,Nivell D,Dissabte,5,4,"[6, 7]"
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,"Secció Esportiva Escola Pia Sant Antoni ""A""",Secció Esportiva Escola Pia Sant Antoni,Nivell E,Dissabte,5,5,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,Dummy 2,Dummy,Dummy,,,6,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,"La Salle Comtal ""B""",La Salle Comtal,Nivell E,Divendres,7,7,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,"AEE Institut Jaume Balmes ""E""",AEE Institut Jaume Balmes,Nivell C,Dissabte,8,8,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G4,Escola Esportiva Pegaso-Viana - CV Sant Andreu B,Escola Esportiva Pegaso-Viana - CV Sant Andreu,Nivell C,Divendres,1,1,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G4,"Institut Viladomat - TEAM ""A""",Institut Viladomat - TEAM,Nivell D,Divendres,Fora,2,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G4,"Institut Maria Espinalt (FPC CET 10) ""H""",Institut Maria Espinalt (FPC CET 10),Nivell E,Divendres,Fora,3,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G4,"Escola Augusta ""A""",Escola Augusta,Nivell E,Divendres,Fora,4,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G4,"The Benjamin Franklin International School ""C""",The Benjamin Franklin International School,Nivell E,Divendres,Fora,5,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G4,Institut Salvador Espriu (FPC CET 10) B,Institut Salvador Espriu (FPC CET 10),Nivell D,Divendres,Casa,6,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G4,"La Salle Comtal ""A""",La Salle Comtal,Nivell E,Divendres,7,7,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G4,"AEE Institut Jaume Balmes ""D""",AEE Institut Jaume Balmes,Nivell C,Dissabte,8,8,[]
