Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,"Escola Avenç ""A""",Escola Avenç,Nivell D,Dissabte,Casa,1,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,"Fundació AMPA Lestonnac ""A""",Fundació AMPA Lestonnac,Nivell A,Divendres,2,2,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,"Club Voleibol Murs Montjuïc ""C""",Club Voleibol Murs Montjuïc,Nivell A,Dissabte,3,3,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,"Club Voleibol Barcelona-Barça ""B""",Club Voleibol Barcelona-Barça,Nivell A,Dissabte,Fora,4,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,"AEE La Sedeta ""A""",AEE La Sedeta,Nivell A,Dissabte,4,5,"[6, 7]"
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,Club Voleibol Sant Martí,Club Voleibol Sant,Nivell A,Dissabte,6,6,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,RMSI Sports,RMSI,Nivell C,Dissabte,Casa,7,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,"Col·legi Sagrat Cor Esclaves ""A""",Col·legi Sagrat Cor Esclaves,Nivell A,Dissabte,1,8,"[6, 7]"
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,"Escola Sadako ""A""",Escola Sadako,Nivell D,Divendres,Casa,1,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell A,Divendres,2,2,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,"Club Voleibol Murs Montjuïc ""D""",Club Voleibol Murs Montjuïc,Nivell C,Dissabte,3,3,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,"AEE La Sedeta ""B""",AEE La Sedeta,Nivell A,Dissabte,4,4,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,"Escola Orlandai ""A""",Escola Orlandai,Nivell A,Dissabte,5,5,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,6,6,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,"Club Voleibol Barcelona-Barça ""A""",Club Voleibol Barcelona-Barça,Nivell A,Dissabte,Casa,7,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,"Col·legi Padre Damian Sagrados Corazones ""B""",Col·legi Padre Damian Sagrados Corazones,Nivell B,Divendres,Casa,8,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G5,"Escola Sadako ""B""",Escola Sadako,Nivell B,Divendres,Casa,1,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G5,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""B""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell A,Divendres,2,2,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G5,"CEBLL (American School of Barcelona) ""A""",CEBLL (American School of Barcelona),Nivell A,Dissabte,Fora,3,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G5,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,3,4,[5]
