Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,Escola Esportiva Pegaso-Viana- CV Sant Andreu ''A'',Escola Esportiva Pegaso-Viana- CV Sant Andreu,Nivell D,Dissabte,1,1,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,INS Vapor del Fil,INS Vapor del,Nivell C,Dissabte,2,2,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,"Escola Súnion ""A""",Escola Súnion,Nivell E,Dissabte,2,3,"[3, 4]"
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,Dummy 1,Dummy,Dummy,,,4,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,Col·legi Sil,Col·legi,Nivell D,Divendres,5,5,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,"Volei els Arcs ""A""",Volei els Arcs,Nivell C,Divendres,7,6,"[3, 4]"
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,"Club Voleibol Murs Montjuïc ""Blau""",Club Voleibol Murs Montjuïc,Nivell A,Dissabte,7,7,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,"AEE La Sedeta ""C""",AEE La Sedeta,Nivell A,Dissabte,8,8,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G4,"AEFS Arrels ""A""",AEFS Arrels,Nivell D,Dissabte,1,1,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G4,"AE Lycée Français ""A""",AE Lycée Français,Nivell B,Dissabte,2,2,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G4,"Escola de Volei Ciutat Vella (AECV) ""Blau""",Escola de Volei Ciutat Vella (AECV),Nivell B,Divendres,3,3,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G4,"AEE La Sedeta ""D""",AEE La Sedeta,Nivell A,Dissabte,4,4,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G4,"Sant Peter´s School ""A""",Sant Peter´s School,Nivell D,Divendres,Fora,5,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G4,"INS Martí Pous ""A""",INS Martí Pous,Nivell A,Divendres,,6,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G4,"Institut Maria Espinalt (FPC CET 10) ""G""",Institut Maria Espinalt (FPC CET 10),Nivell A,Divendres,Casa,7,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G4,"Escola Proa ""A""",Escola Proa,Nivell A,Divendres,Casa,8,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,"The Benjamin Franklin International School ""B""",The Benjamin Franklin International School,Nivell E,Dijous,Casa,1,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,INS La Sagrera Sant Andreu,INS La Sagrera Sant,Nivell C,Divendres,Fora,2,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,"La Salle Comtal ""A""",La Salle Comtal,Nivell E,Divendres,3,3,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,Institut Anna Gironella de Mundet,Institut Anna Gironella de,Nivell C,Divendres,,4,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,Escola Esportiva Pegaso-Viana- CV Sant Andreu ''B'',Escola Esportiva Pegaso-Viana- CV Sant Andreu,Nivell C,Divendres,5,5,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,Institut Salvador Espriu (FPC CET 10) B,Institut Salvador Espriu (FPC CET 10),Nivell E,Divendres,Casa,6,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,"Àngels Roig SPOT ""A""",Àngels Roig SPOT,Nivell E,Divendres,8,7,[5]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,"Escola Proa ""B""",Escola Proa,Nivell B,Divendres,Casa,8,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G3,"Institut Barri Besòs (AAEJ) ""A""",Institut Barri Besòs (AAEJ),Nivell D,Divendres,1,1,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G3,"Institut Viladomat - TEAM ""A""",Institut Viladomat - TEAM,Nivell E,Divendres,Fora,2,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G3,"Institut Infanta Isabel d'Aragó ""A""",Institut Infanta Isabel d'Aragó,Nivell E,Divendres,3,3,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G3,"AEE Institut Jaume Balmes ""B""",AEE Institut Jaume Balmes,Nivell D,Divendres,4,4,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G3,"Institut Quatre Cantons (FPC CET 10) ""A""",Institut Quatre Cantons (FPC CET 10),Nivell C,Divendres,Fora,5,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G3,Institut Salvador Espriu (FPC CET 10) A,Institut Salvador Espriu (FPC CET 10),Nivell E,Divendres,Casa,6,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G3,"Institut Maria Espinalt (FPC CET 10) ""H""",Institut Maria Espinalt (FPC CET 10),Nivell E,Divendres,Casa,7,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G3,"Escola Proa ""C""",Escola Proa,Nivell C,Divendres,Casa,8,[]
