Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,"Escola Virolai ""A""",Escola Virolai,Nivell A,Divendres,1,1,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell A,Dissabte,2,2,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,"Col·legi Canigó ""A""",Col·legi Canigó,Nivell A,Dissabte,Fora,3,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,Dummy 3,Dummy,Dummy,,,4,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,"Escola Orlandai ""A""",Escola Orlandai,Nivell A,Divendres,5,5,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,"Escola Súnion ""A""",Escola Súnion,Nivell A,Dissabte,6,6,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,"Club Voleibol Murs Montjuïc ""B""",Club Voleibol Murs Montjuïc,Nivell B,Dissabte,7,7,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,"AEE Institut Jaume Balmes ""B""",AEE Institut Jaume Balmes,Nivell C,Divendres,8,8,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G3,"Col·legi Sagrat Cor Esclaves ""A""",Col·legi Sagrat Cor Esclaves,Nivell A,Divendres,1,1,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G3,"AEE Institut Icària (FPC CET 10) ""A""",AEE Institut Icària (FPC CET 10),Nivell C,Dissabte,1,2,"[1, 2]"
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G3,Dummy 1,Dummy,Dummy,,,3,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G3,Institut Anna Gironella de Mundet,Institut Anna Gironella de,Nivell C,Divendres,,4,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G3,RMSI Sports A,RMSI Sports,Nivell C,Dissabte,Casa,5,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G3,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,6,6,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G3,"Volei els Arcs ""A""",Volei els Arcs,Nivell B,Divendres,7,7,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G3,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell D,Divendres,8,8,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,"Club Joventut Les Corts ""Groc""",Club Joventut Les Corts,Nivell D,Dissabte,1,1,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,"Club Esportiu Fabra i Coats ""B""",Club Esportiu Fabra i Coats,Nivell E,Divendres,2,2,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,Dummy 2,Dummy,Dummy,,,3,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,"AEE Institut Jaume Balmes ""C""",AEE Institut Jaume Balmes,Nivell C,Divendres,4,4,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,"The Benjamin Franklin International School ""D""",The Benjamin Franklin International School,Nivell E,Dijous,Fora,5,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,RMSI Sports B,RMSI Sports,Nivell C,Dissabte,Casa,6,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,"Fundació Escola Teresianes Ganduxer ""A""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,7,7,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,Club Esportiu Jesús Maria A,Club Esportiu Jesús Maria,Nivell E,Divendres,7,8,[5]
