Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G1,"Institut Quatre Cantons (FPC CET 10) ""A""",Institut Quatre Cantons (FPC CET 10),Nivell B,Divendres,Casa,1,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G1,"Centre d'Estudis Montseny (FPC CET 10) ""A""",Centre d'Estudis Montseny (FPC CET 10),Nivell C,Dissabte,Fora,2,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G1,Dummy 1,Dummy,Dummy,,,3,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G1,"AEE Institut Montserrat ""A""",AEE Institut Montserrat,Nivell C,Dissabte,4,4,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G1,Escola Esportiva Pegaso-Viana- CV Sant Andreu,Escola Esportiva Pegaso-Viana- CV Sant,Nivell D,Dissabte,5,5,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G1,"Escola Proa ""B""",Escola Proa,Nivell B,Divendres,Casa,6,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G1,"Escola de Volei Ciutat Vella (AECV) ""Blau""",Escola de Volei Ciutat Vella (AECV),Nivell B,Divendres,7,7,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G1,"AEE La Sedeta ""A""",AEE La Sedeta,Nivell A,Dissabte,8,8,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G2,Dummy 2,Dummy,Dummy,,,1,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G2,"CEBLL (American School of Barcelona) ""A""",CEBLL (American School of Barcelona),Nivell A,Dissabte,Fora,2,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G2,"AEE Institut Josep Pla ""A""",AEE Institut Josep Pla,Nivell A,Divendres,4,3,[5]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G2,"AEE Institut Montserrat ""B""",AEE Institut Montserrat,Nivell C,Dissabte,4,4,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G2,"Escola Virolai ""A""",Escola Virolai,Nivell A,Divendres,5,5,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G2,"Escola IPSE ""A""",Escola IPSE,Nivell A,Dissabte,5,6,"[1, 2]"
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G2,"Escola Proa ""A""",Escola Proa,Nivell A,Divendres,Casa,7,[]
VOLEIBOL JUVENIL MIXT 1ª FASE CEEB,G2,"AEE La Sedeta ""B""",AEE La Sedeta,Nivell A,Dissabte,8,8,[]
