Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,Col·legi Santa Dorotea,Col·legi Santa,Nivell B,Divendres,Casa,1,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,"AE Lycée Français ""A""",AE Lycée Français,Nivell B,Dissabte,2,2,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,"Escola de Volei Ciutat Vella (AECV) ""Blau""",Escola de Volei Ciutat Vella (AECV),Nivell B,Divendres,3,3,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,Dummy 1,Dummy,Dummy,,,4,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,"CE La Salle Bonanova ""Vermell""",CE La Salle Bonanova,Nivell B,Divendres,5,5,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,"Escola Orlandai ""A""",Escola Orlandai,Nivell A,Dissabte,5,6,"[1, 2]"
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,"Club Voleibol Murs Montjuïc ""B""",Club Voleibol Murs Montjuïc,Nivell B,Dissabte,7,7,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G1,"Col·legi Padre Damian Sagrados Corazones ""A""",Col·legi Padre Damian Sagrados Corazones,Nivell B,Divendres,Casa,8,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,"Col·legi Sagrat Cor Esclaves ""A""",Col·legi Sagrat Cor Esclaves,Nivell A,Divendres,1,1,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,"Club Voleibol Barcelona-Barça ""A""",Club Voleibol Barcelona-Barça,Nivell A,Dissabte,Fora,2,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,3,3,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,"CE La Salle Bonanova ""A""",CE La Salle Bonanova,Nivell A,Divendres,5,4,"[6, 7]"
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,"Escola Orlandai ""B""",Escola Orlandai,Nivell A,Dissabte,5,5,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,"JesuÏtes Sarria-Sant Ignasi ""B""",JesuÏtes Sarria-Sant Ignasi,Nivell C,Divendres,6,6,[]
VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,G2,Dummy 2,Dummy,Dummy,,,7,[]
