Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,"Col·legi Sagrat Cor Esclaves ""A""",Col·legi Sagrat Cor Esclaves,Nivell A,Dissabte,1,1,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell A,Divendres,2,2,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,3,3,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,"Escola Orlandai ""A""",Escola Orlandai,Nivell A,Divendres,5,4,"[6, 7]"
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,"Escola Virolai ""A""",Escola Virolai,Nivell A,Divendres,5,5,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,"Escola Avenç ""A""",Escola Avenç,Nivell B,Dissabte,Casa,6,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,"Club Voleibol Murs Montjuïc ""B""",Club Voleibol Murs Montjuïc,Nivell B,Dissabte,7,7,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,"AEE La Sedeta ""A""",AEE La Sedeta,Nivell A,Dissabte,8,8,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G4,"CE La Salle Bonanova ""A""",CE La Salle Bonanova,Nivell B,Dissabte,1,1,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G4,"Fundació AMPA Lestonnac ""A""",Fundació AMPA Lestonnac,Nivell B,Divendres,2,2,[]
