Nom Lliga,Grup,Nom,Entitat,Nivell,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,2,1,"[1, 2]"
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,"Centre d'Estudis Montseny (FPC CET 10) ""A""",Centre d'Estudis Montseny (FPC CET 10),Nivell C,Fora,2,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,"AEE La Sedeta ""C""",AEE La Sedeta,Nivell A,4,3,[5]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,"AEE Institut Jaume Balmes ""D""",AEE Institut Jaume Balmes,Nivell D,4,4,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,Escola Esportiva Pegaso-Viana- CV Sant Andreu ''A'',Escola Esportiva Pegaso-Viana- CV Sant Andreu,Nivell C,5,5,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,"Club Esportiu Fabra i Coats MAQUI ""A""",Club Esportiu Fabra i Coats MAQUI,Nivell C,6,6,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,"INS Martí Pous ""A""",INS Martí Pous,Nivell A,,7,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,"Institut Quatre Cantons (FPC CET 10) ""A""",Institut Quatre Cantons (FPC CET 10),Nivell C,Casa,8,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,Col·legi Santa Dorotea,Col·legi Santa,Nivell C,Casa,1,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,"Institut Viladomat - TEAM ""A""",Institut Viladomat - TEAM,Nivell E,Fora,2,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,"Escola Suïssa de Barcelona ""A""",Escola Suïssa de Barcelona,Nivell E,4,3,[5]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,"AEE La Sedeta ""B""",AEE La Sedeta,Nivell A,4,4,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,"Escola IPSE ""A""",Escola IPSE,Nivell C,5,5,[]
,G2,,,,,6,[]
,G2,,,,,7,[]
,G2,,,,,8,[]
