Is Impresa?,Nom,Nom Lliga,Dia partit,Horari partit,Categoria,Subcategoria,Data Pagament Albara,Data Introducció,Nivell,Domicili,Modalitat,Núm. sorteig,Observacions,Grups,Email
0,"Club bàsquet turó de la Peira ""Vermell""",BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Divendres,18:00 h,BENJAMÍ,MIXT,,2025-09-30,Nivell E,"C. Travau, 56",BÀSQUET,,,,cbturo@gmail.com
0,"Club bàsquet turó de la Peira ""A""",BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,Divendres,18:00 h,BENJAMÍ,MIXT,,2025-09-30,Nivell D,"C. Nou Barris, 12",BÀSQUET,,,,cbturo@gmail.com
0,EE Pegaso-Viana ''B'',FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Dissabte,09:00 h,PREINFANTIL,MIXT,,2025-09-30,Nivell E,"C. Torroella de Montgri, 16-18",FUTBOL 5,5,,,coordinacio3@setdaventura.com
0,"Club bàsquet turó de la Peira ""B""",BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Divendres,18:30 h,ALEVÍ,MIXT,,2025-09-30,Nivell E,"Rbla. Caçador, 17",BÀSQUET,,,,cbturo@gmail.com
0,"Club Esportiu Fabra i Coats ""A""",FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,Dissabte,10:30 h,MENUTS,MIXT,,2025-09-30,Nivell C,"C. Sócrates, 53-55",FUTBOL 5,7,,,coordinacio@cefabraicoats.cat
0,"Club bàsquet turó de la Peira ""A""",BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,Divendres,18:00 h,ALEVÍ,MIXT,,2025-09-30,Nivell D,"C. Nou Barris, 12",BÀSQUET,,,,cbturo@gmail.com
0,"Club bàsquet turó de la Peira ""A""",BÀSQUET INFANTIL MIXT 1ª FASE CEEB,Divendres,18:00 h,INFANTIL,MIXT,,2025-09-30,Nivell D,"C. Amilcar, 10",BÀSQUET,,,,cbturo@gmail.com
0,"Club bàsquet turó de la Peira ""C""",BÀSQUET CADET MIXT 1ª FASE CEEB,Divendres,18:00 h,CADET,MIXT,,2025-09-30,Nivell D,"C. Vall d'Ordesa, 24-34",BÀSQUET,,,,cbturo@gmail.com
0,"Club Esportiu Fabra i Coats ""A""",FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,Dissabte,09:30 h,MENUDETS,MIXT,,2025-09-30,Nivell C,"C. Sócrates, 53-55",FUTBOL 5,7,,,coordinacio@cefabraicoats.cat
0,"Club bàsquet turó de la Peira ""B""",BÀSQUET CADET MIXT 1ª FASE CEEB,Divendres,19:15 h,CADET,MIXT,,2025-09-30,Nivell D,"C. Nou Barris, 12",BÀSQUET,,,,cbturo@gmail.com
0,"Club Esportiu Fabra i Coats ""C""",FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,Divendres,18:30 h,MENUDETS,MIXT,,2025-09-30,Nivell C,"C. Sócrates, 53-55",FUTBOL 5,3,,,coordinacio@cefabraicoats.cat
0,EE Pegaso-Viana,FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Divendres,19:00 h,PREINFANTIL,MIXT,,2025-09-30,Nivell E,"C. Torroella de Montgri, 16-18",FUTBOL 5,5,,,coordinacio3@setdaventura.com
0,"Club bàsquet turó de la Peira ""A""",BÀSQUET CADET FEMENÍ 1ª FASE CEEB,Dissabte,11:45 h,CADET,FEMENÍ,,2025-09-30,Nivell D,"C. Trevol, 9-19",BÀSQUET,,,,cbturo@gmail.com
0,EE Pegaso-Viana,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Divendres,18:00 h,ALEVÍ,MIXT,,2025-09-30,Nivell E,"C. Torroella de Montgri, 16-18",FUTBOL 5,1,,,coordinacio3@setdaventura.com
0,"Club Esportiu Fabra i Coats ""B""",FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Divendres,20:30 h,INFANTIL,MIXT,,2025-09-30,Nivell C,"C. Sócrates, 53-55",FUTBOL 5,7,,,coordinacio@cefabraicoats.cat
0,EE Pegaso-Viana,FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Divendres,18:00 h,BENJAMÍ,MIXT,,2025-09-30,Nivell E,"C. Torroella de Montgri, 16-18",FUTBOL 5,5,,,coordinacio3@setdaventura.com
0,"Club Esportiu Fabra i Coats ""B""",FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Divendres,19:30 h,PREALEVÍ,MIXT,,2025-09-30,Nivell C,"C. Sócrates, 53-55",FUTBOL 5,7,,,coordinacio@cefabraicoats.cat
0,"Club Esportiu Fabra i Coats ""A""",FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Divendres,19:30 h,PREALEVÍ,MIXT,,2025-09-30,Nivell C,"C. Sócrates, 53-55",FUTBOL 5,3,,,coordinacio@cefabraicoats.cat
0,Ins Martí Pous,BÀSQUET CADET MIXT 1ª FASE CEEB,Divendres,18:00 h,CADET,MIXT,,2025-09-30,Nivell E,"C. de Sant Adrià, 14-18",BÀSQUET,2,,,coordinacio2@setdaventura.com
0,"Club Esportiu Fabra i Coats ""B""",FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,Divendres,18:30 h,MENUDETS,MIXT,,2025-09-30,Nivell C,"C. Sócrates, 53-55",FUTBOL 5,7,,,coordinacio@cefabraicoats.cat
0,"Escola de Futbol Sala APC Raval (AECV) ""A""",FUTBOL 5 CADET MIXT 1ª FASE CEEB,Dissabte,12:00 h,CADET,MIXT,,2025-09-30,Nivell B,"Av. Drassanes, 8-10",FUTBOL 5,1,,,jofreroura@aeciutatvella.cat
0,"Escola de Futbol Sala APC Raval (AECV) ""B""",FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Dissabte,11:00 h,ALEVÍ,MIXT,,2025-09-30,Nivell D,"Av. Drassanes, 8-10",FUTBOL 5,1,,,jofreroura@aeciutatvella.cat
0,"Escola de Futbol Sala APC Raval (AECV) ""A""",FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Dissabte,10:00 h,ALEVÍ,MIXT,,2025-09-30,Nivell C,"Av. Drassanes, 8-10",FUTBOL 5,1,,,jofreroura@aeciutatvella.cat
0,"Escola de Futbol Sala APC Raval (AECV) ""A""",FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,Dissabte,09:00 h,BENJAMÍ,MIXT,,2025-09-30,Nivell D,"Av. Drassanes, 8-10",FUTBOL 5,1,,,jofreroura@aeciutatvella.cat
0,Escola de Futbol Sala APC Raval (AECV),FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,Dissabte,12:00 h,JUVENIL,MIXT,,2025-09-30,Nivell B,"Av. Drassanes, 8-10",FUTBOL 5,5,,,jofreroura@aeciutatvella.cat
0,"Escola de Futbol Sala APC Raval (AECV) ""A""",FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,Dissabte,09:00 h,PREINFANTIL,FEMENÍ,,2025-09-30,Nivell D,"Av. Drassanes, 8-10",FUTBOL 5,5,,,jofreroura@aeciutatvella.cat
0,"Escola de Futbol Sala APC Raval (AECV) ""A""",FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Divendres,19:00 h,INFANTIL,MIXT,,2025-09-30,Nivell B,"Av. Drassanes, 8-10",FUTBOL 5,5,,,jofreroura@aeciutatvella.cat
0,"Escola de Futbol Sala APC Raval (AECV) ""A""",FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,Divendres,18:00 h,PREINFANTIL,MIXT,,2025-09-30,Nivell B,"Av. Drassanes, 8-10",FUTBOL 5,5,,,jofreroura@aeciutatvella.cat
1,"Club de Futbol Poblenou 2023 ""A""",FUTBOL 5 LLIGA ABSOLUTA FEMENÍ 1ª FASE CEEB,Divendres,20:30 h,SÈNIOR,FEMENÍ,,2025-09-30,Nivell E,"C. Fluvià, 60",FUTBOL 5,,,,Johaanjaramillo@gmail.com
0,"Fundació Escola Teresianes Ganduxer ""B""",VOLEIBOL PREALEVÍ MIXT 1ª FASE CEEB,Divendres,18:15 h,PREALEVÍ,MIXT,,2025-09-29,Nivell C,"C. Ganduxer, 85-105",VOLEIBOL,3,,,annatorrib@gmail.com
0,"Fundació Escola Teresianes Ganduxer ""A""",VOLEIBOL JÚNIOR FEMENÍ 1ª FASE CEEB,Divendres,19:30 h,JÚNIOR,FEMENI,,2025-09-29,Nivell C,"C. Ganduxer, 85-105",VOLEIBOL,3,,,carlotafont2002@gmail.com
0,"Fundació Escola Teresianes Ganduxer ""B""",VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,Divendres,18:15 h,PREINFANTIL,FEMENI,,2025-09-29,Nivell C,"C. Ganduxer, 85-105",VOLEIBOL,3,,,carlotafont2002@gmail.com
0,"Fundació Escola Teresianes Ganduxer ""A""",VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,Divendres,19:30 h,ALEVÍ,MIXT,,2025-09-29,Nivell C,"C. Ganduxer, 85-105",VOLEIBOL,3,,,gloriafarre2003@gmail.com
0,"Fundació Escola Teresianes Ganduxer ""A""",VOLEIBOL BENJAMÍ MIXT 1ª FASE CEEB,Divendres,18:15 h,BENJAMÍ,MIXT,,2025-09-29,Nivell C,"C. Ganduxer, 85-105",VOLEIBOL,3,,,gloriafarre2003@gmail.com
