Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Dia partit,Horari partit,Observacions
"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell E,6,Divendres,20:00 h,
Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell A,Casa,Divendres,18:00 h,
"Artós Sports Club (FPC CET 10) ""B""",Artós Sports Club (FPC CET 10),FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell B,Casa,Divendres,18:00 h,
"CE La Salle Gracia ""Negre""",CE La Salle Gracia,FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell C,5,Divendres,18:30 h,
"AFA Escola Taber (AE Can Caralleu) ""Vermell""",AFA Escola Taber (AE Can Caralleu),FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell C,5,Divendres,18:00 h,
EVEREST Prosperitat,Escola de Futbol Sala Prosperitat,FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell B,,Dissabte,12:45 h,"ATENDRE LLISTAT DE PETICIÓ PELS CALENDARIS. 6 EQUIPS UN DISSABTE (MENUTS I, MENUTS J, PREBENJAMIN J, PREBENJAMI D, ALEVI FEMENI, CADET FEMENI) 5 EQUIPS EL SEGÜENT DISSABTE (PREALEVI A, PEALEVI F, BENJAMI P, ALEVI E, INFANTIL B)"
"AI Estel Vallseca ""A""",AI Estel Vallseca,FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell E,3,Divendres,18:15 h,
CE Vincit-Provençalenc A,CE Vincit-Provençalenc,FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell B,Casa,Divendres,19:00 h,
EVEREST Prosperitat E,Escola de Futbol Sala Prosperitat,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,,Dissabte,10:00 h,
Escola Pia Sant Miquel,Escola Pia Sant Miquel,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,1,Dissabte,10:15 h,
Associació Esportiva Babar,Associació Esportiva Babar,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,,Dissabte,11:15 h,
"Escola Els Llorers (AE L'Eixample) ""A""",Escola Els Llorers (AE L'Eixample),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,2,Divendres,19:00 h,
"Club Esportiu Mediterrani ""B""",Club Esportiu Mediterrani,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,Fora,Divendres,19:00 h,
"Col·legi Teresianes de Gràcia (A.E.V.G.) ""A""",Col·legi Teresianes de Gràcia (A.E.V.G.),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,20:00 h,"Nivell molt baix. Agrairia agrupació amb equips del nivell. Vull que juguin els tres equips sempre en el mateix torn. A casa junts i fora junts. A poder ser, intentar no enquadrar a cap dels tres equips en dissabte. Gràcies"
Club Esportiu Mediterrani,Club Esportiu Mediterrani,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell B,Casa,Divendres,19:00 h,
Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,5,Dissabte,11:00 h,
