Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Modalitat,Categoria,Subcategoria,Dia partit,Horari partit,Observacions
"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell C,7,FUTBOL 5,ALEVÍ,FEMENÍ,Dissabte,11:30 h,
"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell E,6,FUTBOL 5,ALEVÍ,FEMENÍ,Divendres,20:00 h,
Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell A,Casa,FUTBOL 5,ALEVÍ,FEMENÍ,Divendres,18:00 h,
"Artós Sports Club (FPC CET 10) ""B""",Artós Sports Club (FPC CET 10),FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell B,Casa,FUTBOL 5,ALEVÍ,FEMENÍ,Divendres,18:00 h,
"CE La Salle Gracia ""Negre""",CE La Salle Gracia,FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell C,5,FUTBOL 5,ALEVÍ,FEMENÍ,Divendres,18:30 h,
"AFA Escola Taber (AE Can Caralleu) ""Vermell""",AFA Escola Taber (AE Can Caralleu),FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell C,5,FUTBOL 5,ALEVÍ,FEMENÍ,Divendres,18:00 h,
EVEREST Prosperitat,Escola de Futbol Sala Prosperitat,FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell B,,FUTBOL 5,ALEVÍ,FEMENÍ,Dissabte,12:45 h,"ATENDRE LLISTAT DE PETICIÓ PELS CALENDARIS. 6 EQUIPS UN DISSABTE (MENUTS I, MENUTS J, PREBENJAMIN J, PREBENJAMI D, ALEVI FEMENI, CADET FEMENI) 5 EQUIPS EL SEGÜENT DISSABTE (PREALEVI A, PEALEVI F, BENJAMI P, ALEVI E, INFANTIL B)"
"AI Estel Vallseca ""A""",AI Estel Vallseca,FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell E,3,FUTBOL 5,ALEVÍ,FEMENÍ,Divendres,18:15 h,
CE Vincit-Provençalenc A,CE Vincit-Provençalenc,FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,Nivell B,Casa,FUTBOL 5,ALEVÍ,FEMENÍ,Divendres,19:00 h,
EVEREST Prosperitat E,Escola de Futbol Sala Prosperitat,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,,FUTBOL 5,ALEVÍ,MIXT,Dissabte,10:00 h,
