Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G2,4BBDD63B9C,"Aula Escola Europea ""A""",Aula Escola Europea,Nivell A,Divendres,1,1,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G2,BFF45837DC,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell A,Divendres,Fora,2,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G2,DUMMY-3,Dummy 3,Dummy,Dummy,,,3,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G2,1F5EE6A9CC,"Col·legi Sagrat Cor Sarrià ""Blau""",Col·legi Sagrat Cor Sarrià,Nivell B,Divendres,4,4,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G2,B0B89FC5F9,"Escola Pia Sant Miquel ""A""",Escola Pia Sant Miquel,Nivell C,Divendres,5,5,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G2,DUMMY-1,Dummy 1,Dummy,Dummy,,,6,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G2,20A8623389,"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""Negre""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),Nivell C,Divendres,7,7,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G2,5313310288,"Escola Pia Balmes ""A""",Escola Pia Balmes,Nivell C,Divendres,8,8,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G3,A14516A245,"Col·legi Canigó ""A""",Col·legi Canigó,Nivell A,Dissabte,Casa,1,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G3,F71B864BB7,"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,Nivell A,Divendres,1,2,"[1, 2]"
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G3,DUMMY-2,Dummy 2,Dummy,Dummy,,,3,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G3,A427310A1D,"Col·legi Sagrat Cor Sarrià ""Vermell""",Col·legi Sagrat Cor Sarrià,Nivell B,Divendres,4,4,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G3,BBAB569D5B,"Escola Pia Sant Miquel ""B""",Escola Pia Sant Miquel,Nivell C,Divendres,5,5,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G3,DUMMY-5,Dummy 5,Dummy,Dummy,,,6,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G3,828796BDB5,"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""Vermell""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),Nivell A,Divendres,7,7,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G3,E1BF30220B,"Escola Thau ""A""",Escola Thau,Nivell C,Divendres,Casa,8,"[6, 7]"
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G1,5790B8F21A,"S.E Escuelas Salesianas San José ""Vermell""",S.E Escuelas Salesianas San José,Nivell E,Divendres,1,1,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G1,30600DA6B3,"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),Nivell E,Divendres,,2,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G1,6E90607814,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell E,Divendres,3,3,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G1,F9B9C76129,"Fundació Brafa ""A""",Fundació Brafa,Nivell C,Dissabte,,4,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G1,CEB7941935,"Col·legi Canigó ""B""",Col·legi Canigó,Nivell B,Dissabte,Fora,5,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G1,0F4F3BD19E,"Lycée Français de Gavà (Bon Soleil) ""B""",Lycée Français de Gavà (Bon Soleil),Nivell E,Divendres,Casa,6,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G1,DUMMY-4,Dummy 4,Dummy,Dummy,,,7,[]
BÀSQUET ALEVÍ FEMENÍ 1ª FASE CEEB,G1,AC23986F55,"AE Les Corts-UBAE ""A""",AE Les Corts-UBAE,Nivell E,Dissabte,Casa,8,"[6, 7]"
