Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G3,16A4FB85A1,Escola Ntra Sra de Lurdes,Escola Ntra Sra de Lurdes,Nivell D,Dissabte,1,1,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G3,DUMMY-3,Dummy 3,Dummy,Dummy,,,2,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G3,685D528020,"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),Nivell D,Divendres,,3,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G3,95599A90BC,"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),Nivell D,Divendres,4,4,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G3,16D437F6C2,"Escola Thau ""A""",Escola Thau,Nivell C,Divendres,Fora,5,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G3,DUMMY-2,Dummy 2,Dummy,Dummy,,,6,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G3,CAAACA52DC,"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),Nivell A,Divendres,7,7,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G3,BF53665256,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,8,8,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G1,33E1594135,"S.E Escuelas Salesianas San José ""Vermell""",S.E Escuelas Salesianas San José,Nivell E,Divendres,1,1,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G1,74DC0EF181,"Fundació Brafa ""A""",Fundació Brafa,Nivell C,Dissabte,Casa,2,"[1, 2]"
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G1,0C36AC21F0,"Vedruna Immaculada - 2 de Maig (AE L'Eixample) ""A""",Vedruna Immaculada - 2 de Maig (AE L'Eixample),Nivell B,Dissabte,3,3,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G1,DUMMY-4,Dummy 4,Dummy,Dummy,,,4,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G1,DD13A3C41D,"AE Les Corts-UBAE ""A""",AE Les Corts-UBAE,Nivell E,Dissabte,Fora,5,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G1,77F52D911A,"Club bàsquet turó de la Peira ""B""",Club bàsquet turó de la Peira,Nivell E,Divendres,,6,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G1,88816C4F5F,"American School of Barcelona ""A""",American School of Barcelona,Nivell E,Dissabte,Casa,7,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G1,C48F1AC7B4,"Escola Provençals (FPC CET 10) ""A""",Escola Provençals (FPC CET 10),Nivell E,Divendres,Casa,8,"[6, 7]"
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G4,7E90881069,"Escola Garbí ""A""",Escola Garbí,Nivell C,Divendres,Casa,1,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G4,3DB2653D97,Associació Esportiva Arrels Congrés,Associació Esportiva Arrels Congrés,Nivell E,Divendres,2,2,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G4,9D3E1B2975,"Jesuïtes Casp ""A""",Jesuïtes Casp,Nivell B,Divendres,3,3,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G4,E9C8B552BF,"Club bàsquet turó de la Peira ""A""",Club bàsquet turó de la Peira,Nivell D,Divendres,,4,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G4,5E31109EB6,"Escola Turó del Cargol (FBC) ""A""",Escola Turó del Cargol (FBC),Nivell E,Divendres,Fora,5,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G4,DUMMY-6,Dummy 6,Dummy,Dummy,,,6,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G4,2A46F21EB2,"AFA La Llacuna del Poblenou ""Blau""",AFA La Llacuna del Poblenou,Nivell D,Divendres,7,7,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G4,4D2F98739E,"Escola Auró (AE L'Eixample) ""B""",Escola Auró (AE L'Eixample),Nivell B,Divendres,8,8,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G2,C9FE16DB00,Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),Nivell E,Divendres,1,1,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G2,16634B79B0,"Club bàsquet turó de la Peira ""Blau""",Club bàsquet turó de la Peira,Nivell D,Divendres,,2,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G2,4E2FF2AF11,AFA Escola Pompeu Fabra (Ceissa),AFA Escola Pompeu Fabra (Ceissa),Nivell E,Divendres,3,3,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G2,DUMMY-1,Dummy 1,Dummy,Dummy,,,4,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G2,DUMMY-5,Dummy 5,Dummy,Dummy,,,5,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G2,F5A950B8E7,"Fundació Cultural Privada Pàlcam (Bàsquet) ""A""",Fundació Cultural Privada Pàlcam (Bàsquet),Nivell C,Dissabte,Casa,6,[]
BÀSQUET ALEVÍ MIXT 1ª FASE CEEB,G2,7C53881C9E,"Escola Dolors Monserdà Santapau ""A""",Escola Dolors Monserdà Santapau,Nivell C,Divendres,Casa,7,[]
