Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G1,A06EBAB3EE,"Escola Thau ""A""",Escola Thau,Nivell C,Divendres,Casa,1,[]
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G1,B6CCF9FF71,"Col·legi Canigó ""B""",Col·legi Canigó,Nivell B,Dissabte,Casa,2,"[1, 2]"
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G1,6F387DA426,"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),Nivell C,Divendres,3,3,[]
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G1,DC64188C8B,"Escolapis Sarrià ""A""",Escolapis Sarrià,Nivell E,Divendres,Fora,4,"[6, 7]"
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G1,01B750B387,"Aula Escola Europea ""Blau""",Aula Escola Europea,Nivell C,Divendres,5,5,[]
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G1,AD52FA1A59,"Col·legi Sagrado Corazón (Corazonistas) ""A""",Col·legi Sagrado Corazón (Corazonistas),Nivell C,Divendres,7,6,"[3, 4]"
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G1,238A1D7FD5,"Escola Pia Balmes ""A""",Escola Pia Balmes,Nivell D,Divendres,8,7,[5]
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G1,6ED02BD799,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,8,8,[]
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G2,0FC46F74A1,"AE Les Corts-UBAE ""A""",AE Les Corts-UBAE,Nivell D,Dissabte,Casa,1,[]
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G2,8370571CA8,"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,Nivell B,Divendres,1,2,"[1, 2]"
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G2,FD56CCD07A,"AE Lycée Français ""A""",AE Lycée Français,Nivell C,Dissabte,2,3,"[3, 4]"
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G2,0E45757BC7,Escola Pia Sant Miquel,Escola Pia Sant Miquel,Nivell C,Dissabte,5,4,"[6, 7]"
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G2,5DFDDD8ACB,"Aula Escola Europea ""Negre""",Aula Escola Europea,Nivell C,Divendres,5,5,[]
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G2,DUMMY-1,Dummy 1,Dummy,Dummy,,,6,[]
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G2,EAAA2D0A9F,"Escola Virolai ""A""",Escola Virolai,Nivell A,Divendres,7,7,[]
BÀSQUET BENJAMÍ FEMENÍ 1ª FASE CEEB,G2,2502F5076E,"Col·legi Canigó ""A""",Col·legi Canigó,Nivell A,Dissabte,Casa,8,"[6, 7]"
