Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G2,926C8CAD27,"Escola Provençals (FPC CET 10) ""A""",Escola Provençals (FPC CET 10),Nivell E,Divendres,Casa,1,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G2,7C690C6448,"Escola Garbí ""A""",Escola Garbí,Nivell C,Divendres,Casa,2,"[1, 2]"
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G2,76C206E197,"Fundació Brafa ""A""",Fundació Brafa,Nivell D,Divendres,Indiferent,3,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G2,C48A45E445,"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,Nivell A,Divendres,5,4,"[6, 7]"
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G2,F7C2FD19D7,"Aula Escola Europea ""A""",Aula Escola Europea,Nivell C,Divendres,5,5,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G2,463B33B49A,"Associació EIXIC Lleure i Esport ""A""",Associació EIXIC Lleure i Esport,Nivell D,Divendres,Fora,6,"[1, 2]"
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G2,C8FBE8C516,"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""Vermell""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),Nivell B,Divendres,7,7,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G2,6DB9E9000F,"Escola Joan Miró (AE L'Eixample) ""A""",Escola Joan Miró (AE L'Eixample),Nivell C,Divendres,8,8,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G4,AEA100AEF3,"Escola Costa i Llobera (AE Can Caralleu) ""Groc""",Escola Costa i Llobera (AE Can Caralleu),Nivell C,Divendres,1,1,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G4,21E92C4863,"AE Lycée Français ""A""",AE Lycée Français,Nivell A,Dissabte,2,2,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G4,54C8A7B9F4,"Escola Reina Elisenda-Virolai ""A""",Escola Virolai,Nivell A,Divendres,3,3,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G4,AE594E8A62,"Escola Ignasi Iglésias (FBC) ""A""",Escola Ignasi Iglésias (FBC),Nivell A,Divendres,3,4,[5]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G4,073081CF1D,"AE Les Corts-UBAE ""A""",AE Les Corts-UBAE,Nivell C,Dissabte,Fora,5,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G4,CD5F6262BD,Col·legi Padre Damian Sagrados Corazones,Col·legi Padre Damian Sagrados Corazones,Nivell B,Divendres,Fora,6,"[1, 2]"
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G4,DUMMY-2,Dummy 2,Dummy,Dummy,,,7,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G4,46BF1F837E,"Club bàsquet turó de la Peira ""A""",Club bàsquet turó de la Peira,Nivell D,Divendres,,8,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G1,456BB03E22,"Escolapis Sarrià ""A""",Escolapis Sarrià,Nivell E,Divendres,Casa,1,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G1,BD77397EDE,"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),Nivell E,Divendres,,2,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G1,7768C85E2E,AFA Escola Pompeu Fabra (Ceissa),AFA Escola Pompeu Fabra (Ceissa),Nivell E,Divendres,3,3,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G1,9939DFB89E,"Escola Ferran Sunyer (AE L'Eixample) ""A""",Escola Ferran Sunyer (AE L'Eixample),Nivell E,Divendres,4,4,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G1,FF24CEFC76,"Escola Els Llorers (AE L'Eixample) ""A""",Escola Els Llorers (AE L'Eixample),Nivell D,Divendres,5,5,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G1,AE75B8E942,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell B,Divendres,Casa,6,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G1,9213AE11E3,"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""Negre""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),Nivell B,Divendres,7,7,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G1,26D33E8CE0,"Escola Pere Verges ""A""",Escola Pere Verges,Nivell E,Divendres,Casa,8,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G3,0A8BA98D5F,"Bàsquet CAT ""A""",Bàsquet CAT,Nivell E,Divendres,Casa,1,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G3,43E09C7387,Escola Vila Olímpica,CB Grup Barna,Nivell C,Divendres,Casa,2,"[1, 2]"
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G3,F022B6E883,"Jesuïtes Casp ""A""",Jesuïtes Casp,Nivell D,Divendres,3,3,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G3,9AC6719D3D,"Escola Turó del Cargol (FBC) ""A""",Escola Turó del Cargol (FBC),Nivell E,Divendres,Fora,4,"[6, 7]"
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G3,6A83F426FD,"Escola Thau ""A""",Escola Thau,Nivell D,Divendres,Fora,5,[]
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G3,B5919EFF84,"Escola Diputació - TEAM ""A""",Escola Diputació - TEAM,Nivell E,Divendres,Fora,6,"[1, 2]"
BÀSQUET BENJAMÍ MIXT 1ª FASE CEEB,G3,33F3FBBA00,"AFA La Llacuna del Poblenou ""Blau""",AFA La Llacuna del Poblenou,Nivell D,Divendres,7,7,[]
