Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET CADET MIXT 1ª FASE CEEB,G2,F2ED409918,"AE Les Corts-UBAE ""B""",AE Les Corts-UBAE,Nivell D,Dissabte,Casa,1,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G2,4B23A3572D,Ins Martí Pous,7 d'Aventura,Nivell E,Divendres,2,2,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G2,66A4627629,"Vedruna Immaculada - 2 de Maig (AE L'Eixample) ""A""",Vedruna Immaculada - 2 de Maig (AE L'Eixample),Nivell B,Dissabte,3,3,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G2,0A376BA759,"American School of Barcelona ""A""",American School of Barcelona,Nivell A,Dissabte,Fora,4,[5]
BÀSQUET CADET MIXT 1ª FASE CEEB,G2,967853D1B9,"Fundació Brafa ""A""",Fundació Brafa,Nivell C,Dissabte,Fora,5,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G2,DUMMY-2,Dummy 2,Dummy,Dummy,,,6,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G2,1FCC6D657D,Braval B,Braval,Nivell B,Divendres,7,7,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G2,4FB34C5C25,Escola de Secundaria Els Arcs (Bàsquet),Escola de Secundaria Els Arcs (Bàsquet),Nivell B,Dissabte,8,8,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G3,E8FD2B5B93,"Club bàsquet turó de la Peira ""B""",Club bàsquet turó de la Peira,Nivell D,Divendres,,1,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G3,AB032A6058,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell A,Divendres,2,2,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G3,24FA565394,Braval A,Braval,Nivell A,Divendres,3,3,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G3,E91AEC91B6,"Escola de Secundaria Els Arcs (Bàsquet) ""A""",Escola de Secundaria Els Arcs (Bàsquet),Nivell B,Dissabte,4,4,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G3,3CE994EDA7,"AE Les Corts-UBAE ""A""",AE Les Corts-UBAE,Nivell D,Dissabte,Fora,5,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G3,F10473902F,Col·legi Immaculada Concepció D'Horta,Col·legi Immaculada Concepció D'Horta,Nivell D,Dissabte,Casa,6,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G3,DUMMY-4,Dummy 4,Dummy,Dummy,,,7,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G3,DUMMY-3,Dummy 3,Dummy,Dummy,,,8,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G1,299827BF46,"Col·legi Viaró ""A""",Col·legi Viaró,Nivell E,Dissabte,2,1,"[1, 2]"
BÀSQUET CADET MIXT 1ª FASE CEEB,G1,4B5E0163DF,Associació Esportiva Arrels Congrés,Associació Esportiva Arrels Congrés,Nivell E,Divendres,2,2,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G1,601E8B7A22,"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,Nivell E,Dissabte,3,3,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,4,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G1,D5C80E4D2E,"CE La Salle Gracia ""A""",CE La Salle Gracia,Nivell E,Divendres,5,5,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G1,FA4A5B52FC,"Club bàsquet turó de la Peira ""C""",Club bàsquet turó de la Peira,Nivell D,Divendres,,6,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G1,99A514F4A1,"Institut Viladomat - TEAM ""A""",Institut Viladomat - TEAM,Nivell E,Divendres,Casa,7,[]
BÀSQUET CADET MIXT 1ª FASE CEEB,G1,9AFAFA4891,"Institut Ernest Lluch (AE L'Eixample) ""A""",Institut Ernest Lluch (AE L'Eixample),Nivell C,Divendres,8,8,[]
