Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G1,1174919F1C,"Col·legi Canigó ""A""",Col·legi Canigó,Nivell A,Dissabte,Casa,1,[]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G1,D157D35CA3,"AE Lycée Français ""A""",AE Lycée Français,Nivell A,Dissabte,2,2,[]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G1,C276AB8238,"Col·legi Sagrado Corazón (Corazonistas) ""A""",Col·legi Sagrado Corazón (Corazonistas),Nivell D,Divendres,3,3,[]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G1,14C0154B69,"Sant Peter´s School ""C""",Sant Peter´s School,Nivell D,Divendres,Fora,4,[]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G1,6526682F17,"Escola Pia Sant Miquel ""A""",Escola Pia Sant Miquel,Nivell C,Divendres,5,5,[]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G1,F6C8EA1F12,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""Negre""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell B,Divendres,6,6,[]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G1,9BF452F468,Escola de Secundaria Els Arcs (Bàsquet),Escola de Secundaria Els Arcs (Bàsquet),Nivell A,Dissabte,8,7,[5]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G1,47357EFED9,"Escola Pia Balmes ""A""",Escola Pia Balmes,Nivell D,Divendres,8,8,[]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G2,3D17613BE7,"CE La Salle Gracia ""A""",CE La Salle Gracia,Nivell C,Divendres,1,1,[]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G2,5D01493A29,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""Vermell""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell A,Divendres,2,2,[]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G2,1BED90A21A,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell E,Divendres,3,3,[]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G2,20F4A72C4E,"Col·legi Canigó ""B""",Col·legi Canigó,Nivell B,Dissabte,Fora,4,"[6, 7]"
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G2,6D0C6583F5,"Escola Pia Sant Miquel ""B""",Escola Pia Sant Miquel,Nivell C,Dissabte,5,5,[]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G2,3B0B752CD3,"Aula Escola Europea ""A""",Aula Escola Europea,Nivell C,Dissabte,5,6,"[1, 2]"
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G2,827D7A7F5D,"American School of Barcelona ""A""",American School of Barcelona,Nivell E,Dissabte,Casa,7,[]
BÀSQUET INFANTIL FEMENÍ 1ª FASE CEEB,G2,DUMMY-1,Dummy 1,Dummy,Dummy,,,8,[]
