Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G2,1A9A50024F,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,8,1,"[6, 7]"
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G2,B1F97E0923,"AE Lycée Français ""A""",AE Lycée Français,Nivell A,Dissabte,2,2,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G2,77DD4358E0,"Club bàsquet turó de la Peira ""A""",Club bàsquet turó de la Peira,Nivell D,Divendres,,3,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G2,DUMMY-2,Dummy 2,Dummy,Dummy,,,4,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G2,DUMMY-3,Dummy 3,Dummy,Dummy,,,5,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G2,AAB0507358,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell A,Divendres,6,6,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G2,CF50930822,"Vedruna Immaculada - 2 de Maig (AE L'Eixample) ""A""",Vedruna Immaculada - 2 de Maig (AE L'Eixample),Nivell C,Dissabte,7,7,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G2,F570A79FE8,Escola de Secundaria Els Arcs (Bàsquet),Escola de Secundaria Els Arcs (Bàsquet),Nivell B,Dissabte,8,8,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G1,7B09B2A6CC,"OAK House British School ""A""",OAK House British School,Nivell D,Divendres,1,1,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,2,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G1,68E9E5805F,"Institut Viladomat - TEAM ""A""",Institut Viladomat - TEAM,Nivell E,Divendres,Fora,3,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G1,358F69E114,"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,Nivell E,Dissabte,3,4,[5]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G1,0EE6BD0D9F,"Fundació Brafa ""A""",Fundació Brafa,Nivell C,Dissabte,Fora,5,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G1,03C8CDB39E,"Secció Esportiva Santa Eulalia (SESE) ""A""",Secció Esportiva Santa Eulalia (SESE),Nivell C,Dissabte,Casa,6,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G1,BD355C35FC,"American School of Barcelona ""A""",American School of Barcelona,Nivell E,Dissabte,Casa,7,[]
BÀSQUET INFANTIL MIXT 1ª FASE CEEB,G1,6F6C0DC5EB,"Escola de Secundaria Els Arcs (Bàsquet) ""B""",Escola de Secundaria Els Arcs (Bàsquet),Nivell E,Dissabte,8,8,[]
