Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,1,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G1,515D9536A1,"Col·legi Viaró ""A""",Col·legi Viaró,Nivell E,Dissabte,2,2,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G1,1BA500E5BE,"American School of Barcelona ""A""",American School of Barcelona,Nivell A,Dissabte,Fora,3,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G1,3ECEB4912E,"AEE Institut Montserrat ""A""",AEE Institut Montserrat,Nivell C,Dissabte,4,4,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,5,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G1,0CCC7C7B9D,"Escola Súnion ""A""",Escola Súnion,Nivell E,Dissabte,6,6,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G1,621A9A0393,Braval B,Braval,Nivell B,Divendres,7,7,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,8,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G2,8CA2F3247B,"Club bàsquet turó de la Peira ""A""",Club bàsquet turó de la Peira,Nivell D,Divendres,,1,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G2,F3D801E1D5,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell A,Divendres,Fora,2,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G2,AE0E1D0F9D,Braval A,Braval,Nivell A,Divendres,3,3,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G2,67597EEDD6,Escola de Secundaria Els Arcs (Bàsquet),Escola de Secundaria Els Arcs (Bàsquet),Nivell B,Dissabte,4,4,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G2,DUMMY-4,Dummy 4,Dummy,Dummy,,,5,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G2,22A6D20611,"AE Lycée Français ""A""",AE Lycée Français,Nivell A,Dissabte,6,6,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G2,DUMMY-5,Dummy 5,Dummy,Dummy,,,7,[]
BÀSQUET JUVENIL MIXT 1ª FASE CEEB,G2,DUMMY-6,Dummy 6,Dummy,Dummy,,,8,[]
