Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G1,64FF8ACA8B,"Aula Escola Europea ""A""",Aula Escola Europea,Nivell C,Divendres,1,1,[]
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,2,[]
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G1,0E6FFB15A4,"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),Nivell B,Divendres,3,3,[]
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G1,99613EBFCC,Col·legi Abat Oliba - Spínola,Col·legi Abat Oliba - Spínola,Nivell D,Divendres,5,4,"[6, 7]"
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G1,C7C83817D6,"Col·legi Canigó ""B""",Col·legi Canigó,Nivell B,Dissabte,Fora,5,[]
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G1,16B76ED71D,"Escola Garbí ""A""",Escola Garbí,Nivell C,Divendres,Fora,6,"[1, 2]"
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,7,[]
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G1,1C0FE293C3,"Col·legi Sagrat Cor Sarrià ""Vermell""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,8,8,[]
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G2,0D65652C4C,"Col·legi Canigó ""A""",Col·legi Canigó,Nivell A,Dissabte,Casa,1,[]
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G2,5B05DE0818,"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,Nivell C,Divendres,1,2,"[1, 2]"
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G2,BD8F99BD83,"Escola Pia Balmes ""A""",Escola Pia Balmes,Nivell C,Divendres,4,3,[5]
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G2,C42E411470,"Escola Thau ""A""",Escola Thau,Nivell C,Divendres,Fora,4,"[6, 7]"
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G2,A2124C591F,Escola Pia Sant Miquel,Escola Pia Sant Miquel,Nivell C,Dissabte,5,5,[]
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G2,E58C997FA8,"Fundació Brafa ""A""",Fundació Brafa,Nivell C,Dissabte,Fora,6,"[1, 2]"
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G2,DUMMY-3,Dummy 3,Dummy,Dummy,,,7,[]
BÀSQUET PREALEVÍ FEMENÍ 1ª FASE CEEB,G2,26F5D31CA4,"Col·legi Sagrat Cor Sarrià ""Blau""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,8,8,[]
