Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G1,7467EE076D,Escola Ntra Sra de Lurdes,Escola Ntra Sra de Lurdes,Nivell D,Dissabte,1,1,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G1,D4A80CEE0F,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell C,Divendres,Fora,2,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G1,2E82B5F047,"AFA La Llacuna del Poblenou ""Blau""",AFA La Llacuna del Poblenou,Nivell A,Divendres,3,3,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G1,74C54D8DE2,"Escola Reina Elisenda-Virolai ""A""",Escola Virolai,Nivell A,Divendres,3,4,[5]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G1,8154D7CA3F,Escola Pia Sant Miquel,Escola Pia Sant Miquel,Nivell C,Divendres,5,5,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G1,751BB80587,"Escola Els Llorers (AE L'Eixample) ""A""",Escola Els Llorers (AE L'Eixample),Nivell D,Divendres,5,6,"[1, 2]"
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G1,2578BB9DB9,AFA Escola Pompeu Fabra (Ceissa),AFA Escola Pompeu Fabra (Ceissa),Nivell B,Divendres,7,7,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G1,6D213AD238,"Escola Bogatell (FPC CET 10) ""A""",Escola Bogatell (FPC CET 10),Nivell C,Divendres,1,8,"[6, 7]"
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G4,9018D124CA,"Escola La Farigola del Clot (FPC CET 10) ""A""",Escola La Farigola del Clot (FPC CET 10),Nivell D,Dissabte,1,1,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G4,BA79D7AC78,"AE Lycée Français ""A""",AE Lycée Français,Nivell A,Dissabte,2,2,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G4,5F4CFB8334,"Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Tibidabo),Nivell A,Divendres,3,3,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G4,D85B1C5F34,Escola de Secundaria Els Arcs (Bàsquet),Escola de Secundaria Els Arcs (Bàsquet),Nivell D,Dissabte,4,4,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G4,997A2FB78C,"Escola Garbí ""A""",Escola Garbí,Nivell D,Divendres,Fora,5,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G4,DUMMY-2,Dummy 2,Dummy,Dummy,,,6,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G4,5C7D8ACC6B,"Vedruna Immaculada - 2 de Maig (AE L'Eixample) ""A""",Vedruna Immaculada - 2 de Maig (AE L'Eixample),Nivell D,Dissabte,7,7,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G4,3540B0DE54,"AFA Escola Taber (AE Can Caralleu) ""Vermell""",AFA Escola Taber (AE Can Caralleu),Nivell B,Divendres,1,8,"[6, 7]"
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G2,A895975275,"Escola Thau ""A""",Escola Thau,Nivell C,Divendres,Casa,1,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G2,07E4C4825F,"EB Bon Pastor (FBC) ""A""",EB Bon Pastor (FBC),Nivell C,Divendres,Casa,2,"[1, 2]"
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G2,CF5B65182D,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell E,Divendres,3,3,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G2,A00977D682,"Escola Ferran Sunyer (AE L'Eixample) ""A""",Escola Ferran Sunyer (AE L'Eixample),Nivell E,Divendres,4,4,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G2,E5F64046DC,"Escola Bogatell (FPC CET 10) ""B""",Escola Bogatell (FPC CET 10),Nivell E,Divendres,Fora,5,"[6, 7]"
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G2,21BFECCB26,"AMPA Escola Pere Vila ""E""",AMPA Escola Pere Vila,Nivell E,Divendres,Casa,6,"[3, 4]"
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G2,E840FCF2CF,"Escola Joan Miró (AE L'Eixample) ""A""",Escola Joan Miró (AE L'Eixample),Nivell C,Divendres,8,7,[5]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G2,0EA03487DF,"Aula Escola Europea ""A""",Aula Escola Europea,Nivell C,Divendres,1,8,"[6, 7]"
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G3,01FBEA5606,"Escola Carlit (AE L'Eixample) ""A""",Escola Carlit (AE L'Eixample),Nivell E,Divendres,1,1,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G3,81B75C73D3,"Associacio Sant Marti Esport ""A""",Associacio Sant Marti Esport,Nivell E,Dissabte,Casa,2,"[1, 2]"
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G3,04588F005C,"Jesuïtes Casp ""A""",Jesuïtes Casp,Nivell C,Divendres,3,3,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G3,8D5D2B48CD,"Escola Mallorca (AE L'Eixample) ""A""",Escola Mallorca (AE L'Eixample),Nivell E,Dissabte,3,4,[5]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G3,C44E92FF98,"Escola Turó del Cargol (FBC) ""A""",Escola Turó del Cargol (FBC),Nivell E,Divendres,Fora,5,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G3,DUMMY-1,Dummy 1,Dummy,Dummy,,,6,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G3,8229E41F06,"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,Nivell E,Dijous,7,7,[]
BÀSQUET PREALEVÍ MIXT 1ª FASE CEEB,G3,DC8FA7D08E,"CE La Salle Gracia ""A""",CE La Salle Gracia,Nivell C,Divendres,1,8,"[6, 7]"
