Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G2,787CA3D375,"Bàsquet CAT ""Negre""",Bàsquet CAT,Nivell A,Divendres,Casa,1,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G2,4C03A1BCC4,Escola Peter Pan,Escola Peter Pan,Nivell A,Divendres,1,2,"[1, 2]"
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G2,CEE69591D9,"Escola Virolai ""A""",Escola Virolai,Nivell A,Divendres,3,3,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G2,442341F624,"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),Nivell D,Divendres,4,4,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G2,802D7EC5AE,"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,Nivell C,Divendres,5,5,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G2,02DB807240,"CE La Salle Gracia ""A""",CE La Salle Gracia,Nivell D,Divendres,5,6,"[1, 2]"
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G2,DUMMY-1,Dummy 1,Dummy,Dummy,,,7,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G2,D9B805BA3C,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell B,Divendres,8,8,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G1,3A5DB2D137,"Escola Thau ""A""",Escola Thau,Nivell C,Divendres,Casa,1,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G1,4AB80CB86F,"EB Vallcarca Nord (FBC) ""Negre""",EB Vallcarca Nord (FBC),Nivell E,Divendres,,2,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G1,D3919158D6,"AFA La Llacuna del Poblenou ""Blau""",AFA La Llacuna del Poblenou,Nivell C,Divendres,3,3,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G1,95F31D6782,"Escola Pia Balmes ""A""",Escola Pia Balmes,Nivell E,Divendres,4,4,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G1,E737AF5DB0,Escola Pia Sant Miquel,Escola Pia Sant Miquel,Nivell E,Divendres,5,5,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,6,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G1,C5D3B20871,AFA Escola Pompeu Fabra (Ceissa),AFA Escola Pompeu Fabra (Ceissa),Nivell E,Divendres,7,7,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G1,4AE49C0B38,"Col·legi Maristes Sants-Les Corts ""A""",Col·legi Maristes Sants-Les Corts,Nivell E,Divendres,Casa,8,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G3,00990162D3,"Escola Ntra Sra de Lurdes ""A""",Escola Ntra Sra de Lurdes,Nivell E,Dissabte,1,1,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G3,599001FA6F,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell C,Divendres,Fora,2,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G3,B3E5EC2936,"Escola Mallorca (AE L'Eixample) ""A""",Escola Mallorca (AE L'Eixample),Nivell E,Dissabte,3,3,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G3,E0440D88E5,"AE Les Corts-UBAE ""A""",AE Les Corts-UBAE,Nivell E,Dissabte,Fora,4,"[6, 7]"
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G3,7BE8A2547C,"S.E Escuelas Salesianas San José ""Vermell""",S.E Escuelas Salesianas San José,Nivell E,Divendres,5,5,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G3,3BA9F9059F,"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),Nivell E,Divendres,,6,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G3,DUMMY-4,Dummy 4,Dummy,Dummy,,,7,[]
BÀSQUET PREBENJAMÍ MIXT 1ª FASE CEEB,G3,DUMMY-3,Dummy 3,Dummy,Dummy,,,8,[]
