Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,421CC08820,"Escola Garbí ""A""",Escola Garbí,Nivell C,Divendres,Casa,1,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,2,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,3,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,4,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,FDF4BBEE24,"CE La Salle Gracia ""A""",CE La Salle Gracia,Nivell D,Divendres,5,5,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,DUMMY-6,Dummy 6,Dummy,Dummy,,,6,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,2762A9529D,"Escola Pere Verges ""A""",Escola Pere Verges,Nivell A,Divendres,Casa,7,[5]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,1CEA5D4C20,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,8,8,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,612378D8C6,"Col·legi Canigó ""A""",Col·legi Canigó,Nivell B,Dissabte,Casa,1,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,5C07F23AE5,"AE Lycée Français ""A""",AE Lycée Français,Nivell C,Dissabte,2,2,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,DUMMY-4,Dummy 4,Dummy,Dummy,,,3,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,7015935416,"Escola Pia Balmes ""A""",Escola Pia Balmes,Nivell C,Dissabte,4,4,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,DUMMY-5,Dummy 5,Dummy,Dummy,,,5,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,23F871F13F,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell C,Dissabte,Casa,6,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,DUMMY-7,Dummy 7,Dummy,Dummy,,,7,[]
BÀSQUET PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,2C7FB1DC37,"Escola de Secundaria Els Arcs (Bàsquet) ""A""",Escola de Secundaria Els Arcs (Bàsquet),Nivell C,Dissabte,8,8,[]
