Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,8308470F62,EVEREST Prosperitat,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,1,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,2,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,3,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,4,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,FF2874929C,"CE La Salle Gracia ""Negre""",CE La Salle Gracia,Nivell C,Divendres,5,5,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,DUMMY-6,Dummy 6,Dummy,Dummy,,,6,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,54B384BB8F,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,7,7,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,3CA51DB334,Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),Nivell A,Divendres,Casa,8,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G2,311584D559,CE Vincit-Provençalenc A,CE Vincit-Provençalenc,Nivell B,Divendres,Casa,1,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G2,DUMMY-4,Dummy 4,Dummy,Dummy,,,2,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G2,8E378596B8,"AI Estel Vallseca ""A""",AI Estel Vallseca,Nivell E,Divendres,3,3,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G2,DUMMY-5,Dummy 5,Dummy,Dummy,,,4,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G2,6D1F33EDF0,"AFA Escola Taber (AE Can Caralleu) ""Vermell""",AFA Escola Taber (AE Can Caralleu),Nivell C,Divendres,5,5,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G2,A1932A24A4,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell E,Divendres,6,6,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G2,DUMMY-7,Dummy 7,Dummy,Dummy,,,7,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G2,5897F8C8B5,"Artós Sports Club (FPC CET 10) ""B""",Artós Sports Club (FPC CET 10),Nivell B,Divendres,Casa,8,[]
