Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,DE658B5803,Manyanet Sant Andreu,Manyanet Sant Andreu,Nivell B,Dissabte,1,1,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,33FD25E57A,Futsal Dante,Futsal Dante,Nivell A,Divendres,Casa,2,"[1, 2]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,D5870C3008,Escola Grevol,Escola Grevol,Nivell A,Divendres,3,3,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,ED83D8CB3E,"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),Nivell C,Divendres,4,4,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,23BB936F38,"Dominiques Barcelona ""Negre""",Dominiques Barcelona,Nivell D,Divendres,Fora,5,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,AC8BDB2ABF,"OAK House British School ""A""",OAK House British School,Nivell C,Divendres,5,6,"[1, 2]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,DUMMY-4,Dummy 4,Dummy,Dummy,,,7,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,472A99D2F4,Club Esportiu Mediterrani,Club Esportiu Mediterrani,Nivell B,Divendres,Casa,8,"[6, 7]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,0018468BC0,"Escola de Futbol Sala APC Raval (AECV) ""A""",Escola de Futbol Sala APC Raval (AECV),Nivell C,Dissabte,1,1,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,A21ABC1508,Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),Nivell C,Divendres,1,2,"[1, 2]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,D2D3506619,"Kinobs Sports SLU ""A""",Kinobs Sports SLU,Nivell E,Divendres,3,3,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,3CCFCDF878,Scala Dei - Futsal Dante,Scala Dei - Futsal Dante,Nivell E,Divendres,Fora,4,"[6, 7]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,7C883F380D,"Centre Montserrat-Xavier ""B""",Centre Montserrat-Xavier,Nivell E,Divendres,Fora,5,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,E2F1BFFC70,"Club Joventut Les Corts ""B""",Club Joventut Les Corts,Nivell B,Dissabte,Fora,6,"[1, 2]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,DUMMY-7,Dummy 7,Dummy,Dummy,,,7,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G1,3A84027501,"IE Tres Fonts de Les Corts (Valors IPP) ""A""",IE Tres Fonts de Les Corts (Valors IPP),Nivell E,Divendres,Casa,8,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G11,5D89697DD3,EE Pegaso-Viana,7 d'Aventura,Nivell E,Divendres,1,1,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G11,64B8A27579,"Aula Escola Europea ""A""",Aula Escola Europea,Nivell C,Dissabte,1,2,"[1, 2]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G11,5E85FFDF08,Escola Tabor (CEM Sagrada Familia),Escola Tabor (CEM Sagrada Familia),Nivell C,Dissabte,Fora,3,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G11,D853974170,"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),Nivell B,Divendres,5,4,"[6, 7]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G11,56D80B5CC0,"Escola Pràctiques (AE L'Eixample) ""A""",Escola Pràctiques (AE L'Eixample),Nivell E,Divendres,5,5,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G11,DUMMY-6,Dummy 6,Dummy,Dummy,,,6,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G11,6605BF6008,"Institut Escola Londres (AE L'Eixample) ""A""",Institut Escola Londres (AE L'Eixample),Nivell E,Dissabte,7,7,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G11,3174768195,CE Vincit-Provençalenc C,CE Vincit-Provençalenc,Nivell C,Divendres,Casa,8,"[6, 7]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G10,D6A7DCB358,"CE La Salle Gracia ""Negre""",CE La Salle Gracia,Nivell C,Divendres,1,1,[]
