Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,B037ED1DF4,Artós Sports Club (FPC CET 10) A,Artós Sports Club (FPC CET 10),Nivell A,Divendres,1,1,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,A4DDA84989,"AE Sant Andreu ""B""",AE Sant Andreu,Nivell B,Dissabte,2,2,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,D7821952A2,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell A,Divendres,Fora,3,"[3, 4]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,4,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,A14781E4C0,Col·legi Padre Damian Sagrados Corazones,Col·legi Padre Damian Sagrados Corazones,Nivell A,Divendres,Fora,5,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,CB5F110DAB,"OAK House British School ""A""",OAK House British School,Nivell C,Divendres,5,6,"[1, 2]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,AB7C337BB2,Escola Grevol,Escola Grevol,Nivell A,Divendres,7,7,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G1,CED32BB285,Centre d'Estudis Montseny (FPC CET 10),Centre d'Estudis Montseny (FPC CET 10),Nivell D,Divendres,1,8,"[6, 7]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G9,0D57F7197D,"Club Joventut Les Corts ""A""",Club Joventut Les Corts,Nivell A,Dissabte,Casa,1,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G9,05380D99EA,"Escola La Farigola del Clot (FPC CET 10) ""A""",Escola La Farigola del Clot (FPC CET 10),Nivell C,Dissabte,1,2,"[1, 2]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G9,E13E62BACB,"AE Lycée Français ""A""",AE Lycée Français,Nivell C,Dissabte,2,3,"[3, 4]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G9,C4396FA189,Associació Esportiva Babar,Associació Esportiva Babar,Nivell C,Dissabte,,4,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G9,BBE0DD6C26,Futsal Dante,Futsal Dante,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G9,DUMMY-2,Dummy 2,Dummy,Dummy,,,6,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G9,874007FD42,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell D,Dissabte,7,7,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G9,6C00397A85,"Escola Mallorca (AE L'Eixample) ""A""",Escola Mallorca (AE L'Eixample),Nivell A,Dissabte,Casa,8,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G11,89CF406401,"Escola Thau ""A""",Escola Thau,Nivell C,Divendres,Casa,1,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G11,C0BE9F0A2C,FS Manyanet Les Corts Groc,Futbol Sala Manyanet Les Corts,Nivell C,Divendres,Casa,2,"[1, 2]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G11,C496B92E7E,"Club Esportiu Jesús Maria ""B""",Club Esportiu Jesús Maria,Nivell B,Divendres,3,3,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G11,B10C833894,Artós Sports Club (FPC CET 10) B,Artós Sports Club (FPC CET 10),Nivell C,Divendres,5,4,"[6, 7]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G11,E641694C7B,"CE La Salle Gracia ""Groc""",CE La Salle Gracia,Nivell C,Divendres,5,5,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G11,E46422DA64,"Dominiques Barcelona ""Negre""",Dominiques Barcelona,Nivell D,Divendres,Fora,6,"[1, 2]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G11,65C07EFEAD,"Kinobs Sports SLU ""A""",Kinobs Sports SLU,Nivell E,Divendres,7,7,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G11,1F3BC787E3,"Escola Sagrada Familia Sant Andreu ""A""",Escola Sagrada Familia Sant Andreu,Nivell E,Divendres,8,8,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,A2E179D3EF,"ACE Sansur ""A""",ACE Sansur,Nivell C,Dissabte,Casa,1,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,3887A8A2CA,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell C,Divendres,2,2,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,4AE5AD65B3,"AE Sant Andreu ""A""",AE Sant Andreu,Nivell B,Dissabte,3,3,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,785A5FA5DA,Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),Nivell E,Dissabte,,4,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,B066D548F9,Scala Dei - Futsal Dante,Scala Dei - Futsal Dante,Nivell C,Dissabte,Fora,5,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,3186F0FC80,"Lycée Français de Gavà (Bon Soleil) ""B""",Lycée Français de Gavà (Bon Soleil),Nivell D,Dissabte,Casa,6,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,5EFC104062,"Club Esportiu Terra Negra ""A""",Club Esportiu Terra Negra,Nivell E,Dissabte,Casa,7,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G2,780732D815,"Escola de Futbol Sala APC Raval (AECV) ""A""",Escola de Futbol Sala APC Raval (AECV),Nivell D,Dissabte,1,8,"[6, 7]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,F6567068C6,"AF Sant Antoni Futsal ""A""",AF Sant Antoni Futsal,Nivell E,Divendres,Casa,1,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,1D8F4653B7,Col·legi Abat Oliba Loreto,Col·legi Abat Oliba Loreto,Nivell C,Divendres,Casa,2,"[1, 2]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,6EA9B6D8AA,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell B,Divendres,3,3,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,4538B11DEB,"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),Nivell E,Divendres,,4,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,906277AA91,Escola Josep Mº Jujol (Valors IPP),Escola Josep Mº Jujol (Valors IPP),Nivell E,Divendres,Fora,5,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,8CD6B03D13,EE Pegaso-Viana,7 d'Aventura,Nivell E,Divendres,5,6,"[1, 2]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,ED72BA7BAC,Futbol Club Martinenc,Futbol Club Martinenc,Nivell E,Divendres,Casa,7,[]
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G5,844D395233,Club Esportiu Mediterrani,Club Esportiu Mediterrani,Nivell C,Divendres,Casa,8,"[6, 7]"
FUTBOL 5 BENJAMÍ MIXT 1ª FASE CEEB,G7,7B4ECD5500,Escola Ntra Sra de Lurdes,Escola Ntra Sra de Lurdes,Nivell E,Dissabte,1,1,[]
