Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G2,ECF6AB3DA4,Manyanet Sant Andreu,Manyanet Sant Andreu,Nivell C,Dissabte,1,1,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G2,97A79345B3,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell C,Divendres,2,2,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G2,1C4BC2FF1D,EVEREST Prosperitat,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,3,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G2,681DBA8FEE,Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),Nivell B,Divendres,Fora,4,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G2,DUMMY-4,Dummy 4,Dummy,Dummy,,,5,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G2,DUMMY-5,Dummy 5,Dummy,Dummy,,,6,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G2,C707A74D57,"AI Estel Vallseca ""A""",AI Estel Vallseca,Nivell C,Divendres,7,7,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G2,DUMMY-6,Dummy 6,Dummy,Dummy,,,8,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G1,C663E4B634,Manyanet Sant Andreu B,Manyanet Sant Andreu,Nivell E,Dissabte,1,1,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,2,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,3,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,4,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G1,EB4400977C,FS Manyanet Les Corts,Futbol Sala Manyanet Les Corts,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G1,7914004FF8,"CELH (CE Alheña) ""A""",CELH (CE Alheña),Nivell C,Dissabte,Casa,6,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G1,2299FBE93B,"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,Nivell E,Dijous,7,7,[]
FUTBOL 5 CADET FEMENÍ 1ª FASE CEEB,G1,C3172101A4,"AI Estel Vallseca ""B""",AI Estel Vallseca,Nivell E,Divendres,7,8,[5]
