Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,8D34A668EE,"Escola de Futbol Sala APC Raval (AECV) ""A""",Escola de Futbol Sala APC Raval (AECV),Nivell B,Dissabte,1,1,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,68C4D6540C,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell A,Divendres,2,2,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,DUMMY-4,Dummy 4,Dummy,Dummy,,,3,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,4CECC1A16B,CE Vincit-Provençalenc D,CE Vincit-Provençalenc,Nivell C,Divendres,Fora,4,"[(6, 'Fora', 'Braval'), (7, 'Casa', 'Artós Sports Club (FPC CET 10) ""A""')]"
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,18E661F4FF,"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),Nivell C,Divendres,5,5,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,4E7DC73C8B,Col·legi Padre Damian Sagrados Corazones,Col·legi Padre Damian Sagrados Corazones,Nivell C,Divendres,Fora,6,"[(1, 'Casa', 'CE Vincit-Provençalenc D'), (2, 'Fora', 'Artós Sports Club (FPC CET 10) ""A""')]"
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,835530A678,"Club Esportiu Fabra i Coats ""B""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,7,7,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G1,F1D0844432,Braval,Braval,Nivell A,Dissabte,7,8,"[(5, 'Casa', 'Club Esportiu Fabra i Coats ""B""')]"
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,067F785425,"Escola de Futbol Sala Sant Marc de Sarrià ""A""",Escola de Futbol Sala Sant Marc de Sarrià,Nivell E,Divendres,Casa,1,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,72CBA94B59,FS Manyanet Les Corts,Futbol Sala Manyanet Les Corts,Nivell C,Divendres,Casa,2,"[(1, 'Fora', 'Escola de Futbol Sala Sant Marc de Sarrià ""A""'), (2, 'Casa', 'ACE Sansur ""A""')]"
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,6F14053E5F,"Fundació Escola Teresianes Ganduxer ""A""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,3,3,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,DUMMY-3,Dummy 3,Dummy,Dummy,,,4,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,12E1F9ED6D,"OAK House British School ""A""",OAK House British School,Nivell D,Divendres,5,5,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,D346A5C970,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell B,Divendres,Casa,6,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,C74B02745B,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell B,Divendres,7,7,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G2,6E694E70F8,"ACE Sansur ""A""",ACE Sansur,Nivell C,Dissabte,Casa,8,"[(6, 'Casa', 'Dummy 3'), (7, 'Fora', 'Escola de Futbol Sala Sant Marc de Sarrià ""A""')]"
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G3,67992F2EE0,EE Pegaso-Viana,7 d'Aventura,Nivell E,Divendres,1,1,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G3,BE92B3CD3A,SantÍssima Trinitat (Hermanas Trinitarias),SantÍssima Trinitat (Hermanas Trinitarias),Nivell B,Dissabte,,2,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G3,F773825A56,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,3,3,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G3,DUMMY-6,Dummy 6,Dummy,Dummy,,,4,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G3,94A9949CE7,Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),Nivell E,Dissabte,5,5,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G3,DUMMY-1,Dummy 1,Dummy,Dummy,,,6,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G3,EC2621A3A6,"The Benjamin Franklin International School ""B""",The Benjamin Franklin International School,Nivell E,Divendres,7,7,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G3,958559C4DC,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell C,Dissabte,8,8,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G4,546F0F7213,"Artós Sports Club (FPC CET 10) ""B""",Artós Sports Club (FPC CET 10),Nivell E,Divendres,1,1,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G4,94CE19602D,Escola Pia Sant Miquel,Escola Pia Sant Miquel,Nivell C,Dissabte,1,2,"[(1, 'Fora', 'Artós Sports Club (FPC CET 10) ""B""'), (2, 'Casa', 'Escola Pere Verges ""A""')]"
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G4,791B6F3488,"Fundació Escola Teresianes Ganduxer ""B""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,3,3,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G4,DUMMY-5,Dummy 5,Dummy,Dummy,,,4,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G4,AE90EC6362,"Escola Garbí ""A""",Escola Garbí,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G4,92833D4376,"Escola Súnion ""A""",Escola Súnion,Nivell E,Divendres,6,6,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G4,FF228167D0,"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,Nivell E,Divendres,7,7,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G4,46584A7AF9,"Escola Pere Verges ""A""",Escola Pere Verges,Nivell C,Divendres,Casa,8,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G5,9569C6B600,"Dominiques Barcelona ""A""",Dominiques Barcelona,Nivell D,Divendres,Casa,1,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G5,A3069947CA,"CE La Salle Gracia ""Negre""",CE La Salle Gracia,Nivell C,Divendres,1,2,"[(1, 'Fora', 'Dominiques Barcelona ""A""'), (2, 'Casa', 'Club Esportiu Laietà (Futbol 5) ""A""')]"
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G5,29BD1D59A5,"Pam Roig (FPC CET 10) ""A""",Pam Roig (FPC CET 10),Nivell E,Divendres,Fora,3,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G5,20D0B01FEC,"Escola Sagrada Familia Sant Andreu ""A""",Escola Sagrada Familia Sant Andreu,Nivell E,Divendres,4,4,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G5,2BA83DFF4F,"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),Nivell E,Divendres,5,5,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G5,DUMMY-2,Dummy 2,Dummy,Dummy,,,6,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G5,27049BD82D,"Institut Viladomat - TEAM ""A""",Institut Viladomat - TEAM,Nivell E,Divendres,Casa,7,[]
FUTBOL 5 CADET MIXT 1ª FASE CEEB,G5,149B733828,"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),Nivell E,Divendres,Casa,8,"[(6, 'Casa', 'Escola Sagrada Familia Sant Andreu ""A""'), (7, 'Fora', 'Dominiques Barcelona ""A""')]"
