Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,C9A876726F,"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),Nivell A,Divendres,1,1,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,4BA2E9B2F1,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell A,Divendres,Fora,2,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,867E76FEFA,Escola Grevol,Escola Grevol,Nivell A,Divendres,3,3,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,58322EDB41,"Sant Peter´s School ""C""",Sant Peter´s School,Nivell C,Divendres,Fora,4,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,A1901745BD,"OAK House British School ""A""",OAK House British School,Nivell D,Divendres,5,5,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,6,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,DCEED6A689,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell C,Divendres,7,7,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G1,C06D3B4BBD,Escola Pia Sant Miquel,Escola Pia Sant Miquel,Nivell C,Dissabte,1,8,"[(6, 'Casa', 'Sant Peter´s School ""C""'), (7, 'Fora', 'Artós Sports Club (FPC CET 10) ""A""')]"
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,508B57B3B9,CE Vincit-Provençalenc D,CE Vincit-Provençalenc,Nivell C,Divendres,Casa,1,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,132956B3BC,"AE Lycée Français ""A""",AE Lycée Français,Nivell C,Dissabte,2,2,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,ECE40DDA5B,Braval,Braval,Nivell A,Dissabte,3,3,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,726EE333E9,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell C,Dissabte,4,4,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,F3900F4C75,"ACE Sansur ""D""",ACE Sansur,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,E0D4180B9A,Associació Esportiva Babar,Associació Esportiva Babar,Nivell C,Dissabte,,6,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,9EDEC75117,"Club Esportiu Terra Negra ""A""",Club Esportiu Terra Negra,Nivell C,Dissabte,Casa,7,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G2,3FC10CEAFC,SantÍssima Trinitat (Hermanas Trinitarias),SantÍssima Trinitat (Hermanas Trinitarias),Nivell D,Dissabte,,8,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,E842B893C8,Scala Dei - Futsal Dante,Scala Dei - Futsal Dante,Nivell E,Divendres,Casa,1,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,B9809FACC9,EVEREST Prosperitat B,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,2,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,974FDDCC8A,"Kinobs Sports SLU ""A""",Kinobs Sports SLU,Nivell E,Divendres,3,3,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,DUMMY-4,Dummy 4,Dummy,Dummy,,,4,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,92F5DD8418,"CE La Salle Gracia ""Negre""",CE La Salle Gracia,Nivell C,Divendres,5,5,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,46C39B9619,Futsal Dante,Futsal Dante,Nivell E,Divendres,Fora,6,"[(1, 'Casa', 'Dummy 4'), (2, 'Fora', 'CE La Salle Gracia ""Negre""')]"
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,BCF43E8ECA,"Club Esportiu Fabra i Coats ""B""",Club Esportiu Fabra i Coats,Nivell C,Divendres,7,7,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G3,9B90CC5535,Manyanet Sant Andreu,Manyanet Sant Andreu,Nivell C,Dissabte,1,8,"[(6, 'Casa', 'Dummy 4'), (7, 'Fora', 'Scala Dei - Futsal Dante')]"
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G4,352F35466B,"Club Esportiu Mediterrani ""A""",Club Esportiu Mediterrani,Nivell B,Dissabte,Casa,1,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G4,82F33D7058,"IES Poeta Maragall ""A""",IES Poeta Maragall,Nivell E,Divendres,Fora,2,[]
FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,G4,19E17BF0BA,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,3,3,[]
