Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G1,4C16DB5C73,FS Manyanet Les Corts B,Futbol Sala Manyanet Les Corts,Nivell C,Divendres,Casa,1,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G1,26C8ED74D2,"AE Lycée Français ""A""",AE Lycée Français,Nivell C,Dissabte,2,2,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G1,5144265A23,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,3,3,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,4,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G1,207D73AEF8,Escola de Futbol Sala APC Raval (AECV),Escola de Futbol Sala APC Raval (AECV),Nivell B,Dissabte,5,5,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G1,DUMMY-5,Dummy 5,Dummy,Dummy,,,6,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G1,DUMMY-6,Dummy 6,Dummy,Dummy,,,7,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G1,46C08F3DB9,Immaculada Concepció d'Horta - Futsal Dante,Immaculada Concepció d'Horta - Futsal Dante,Nivell B,Dissabte,Casa,8,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G2,93F8513AF0,"Escola Garbí ""A""",Escola Garbí,Nivell C,Divendres,Casa,1,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G2,F35EA7558B,"OAK House British School ""A""",OAK House British School,Nivell C,Divendres,1,2,"[(1, 'Fora', 'Escola Garbí ""A""'), (2, 'Casa', 'Artós Sports Club (FPC CET 10) ""A""')]"
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G2,DUMMY-4,Dummy 4,Dummy,Dummy,,,3,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G2,829B3B8807,"Institut Ernest Lluch (AE L'Eixample) ""A""",Institut Ernest Lluch (AE L'Eixample),Nivell C,Divendres,4,4,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G2,465ECB1B06,"Fundació Brafa ""B""",Fundació Brafa,Nivell D,Dissabte,Fora,5,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G2,B1E8253EBF,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell A,Divendres,Casa,6,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G2,DUMMY-2,Dummy 2,Dummy,Dummy,,,7,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G2,5E780747EF,"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),Nivell A,Dissabte,1,8,"[(6, 'Casa', 'Institut Ernest Lluch (AE L\'Eixample) ""A""'), (7, 'Fora', 'Escola Garbí ""A""')]"
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G3,754FEA3C1F,"Fundació Brafa ""A""",Fundació Brafa,Nivell C,Dissabte,Casa,1,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G3,DUMMY-7,Dummy 7,Dummy,Dummy,,,2,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G3,89814E0C17,"Col·legi Madres Concepcionistes ""A""",Col·legi Madres Concepcionistes,Nivell E,Divendres,,3,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G3,595788DCD6,"Institut Ernest Lluch (AE L'Eixample) ""B""",Institut Ernest Lluch (AE L'Eixample),Nivell C,Divendres,4,4,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G3,6781FBED31,FS Manyanet Les Corts A,Futbol Sala Manyanet Les Corts,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G3,DUMMY-1,Dummy 1,Dummy,Dummy,,,6,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G3,0EE61B14FF,"Club Esportiu Fabra i Coats ""B""",Club Esportiu Fabra i Coats,Nivell C,Divendres,7,7,[]
FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,G3,642E7C06E7,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell C,Divendres,8,8,[]
