Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G2,AEE634487D,"Centre Montserrat-Xavier ""A""",Centre Montserrat-Xavier,Nivell A,Divendres,Casa,1,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G2,6B559ED28D,Manyanet Sant Andreu,Manyanet Sant Andreu,Nivell D,Dissabte,1,2,"[1, 2]"
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G2,D12640608A,"Club Esportiu DMS ""A""",Club Esportiu DMS,Nivell A,Divendres,Fora,3,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G2,DUMMY-4,Dummy 4,Dummy,Dummy,,,4,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G2,DUMMY-5,Dummy 5,Dummy,Dummy,,,5,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G2,DUMMY-6,Dummy 6,Dummy,Dummy,,,6,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G2,DUMMY-7,Dummy 7,Dummy,Dummy,,,7,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G2,E6B01C0573,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell C,Dissabte,8,8,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,0547E0B1AF,Centre Montserrat-Xavier,Centre Montserrat-Xavier,Nivell E,Divendres,Casa,1,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,BBF4A02FE3,"Centre Eines ""A""",Centre Eines,Nivell B,Divendres,,2,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,49C4580D7B,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Divendres,3,3,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,4,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,5,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,1D6CFFA865,"APA Poble Sec CE ""C""",APA Poble Sec CE,Nivell D,Divendres,Casa,6,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,7,[]
FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,46B175716B,"Futsal Rosario Central ""A""",Futsal Rosario Central,Nivell C,Divendres,8,8,[]
