Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G1,ADA6A94DF1,Manyanet Sant Andreu,Manyanet Sant Andreu,Nivell B,Dissabte,1,1,[]
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G1,EEE4702805,Casal de Joves Zona Nord,Associació Juvenil Casal de Jove Zona Nord,Nivell B,Dissabte,Indiferent,2,[]
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,3,[]
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G1,F697FDB38A,"Futsal Rosario Central ""B""",Futsal Rosario Central,Nivell B,Divendres,4,4,[]
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G1,DUMMY-4,Dummy 4,Dummy,Dummy,,,5,[]
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G1,6C8D4D762A,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Divendres,7,6,"[(3, 'Fora', 'AEE Institut Jaume Balmes ""B""'), (4, 'Casa', 'AEE Institut Jaume Balmes ""C""')]"
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G1,3531188F8B,"AEE Institut Jaume Balmes ""C""",AEE Institut Jaume Balmes,Nivell C,Dissabte,8,7,"[(5, 'Fora', 'AEE Institut Jaume Balmes ""B""')]"
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G1,44901BDC82,"AEE Institut Jaume Balmes ""B""",AEE Institut Jaume Balmes,Nivell C,Dissabte,8,8,[]
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G2,A9DBD30020,"Escola Pere Verges ""A""",Escola Pere Verges,Nivell C,Divendres,Casa,1,"[(6, 'Fora', 'Futsal Rosario Central ""A""'), (7, 'Casa', 'AEE Institut Jaume Balmes ""A""')]"
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G2,C425BF6BD9,"Escolàpies Legends ""A""",Escolàpies Legends,Nivell C,Divendres,Indiferent,2,[]
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G2,DUMMY-1,Dummy 1,Dummy,Dummy,,,3,[]
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G2,466AA3A6EF,"Institut Ernest Lluch (AE L'Eixample) ""A""",Institut Ernest Lluch (AE L'Eixample),Nivell C,Divendres,4,4,[]
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G2,DUMMY-2,Dummy 2,Dummy,Dummy,,,5,[]
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G2,0776ADCAAC,Associacio Esportiva de Gracia,Associacio Esportiva de Gracia,Nivell B,Divendres,6,6,[]
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G2,6F4F60B849,"Futsal Rosario Central ""A""",Futsal Rosario Central,Nivell C,Divendres,8,7,"[(5, 'Fora', 'AEE Institut Jaume Balmes ""A""')]"
FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,G2,0D75321499,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell C,Dissabte,8,8,[]
