Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G1,803FB54798,Manyanet Sant Andreu,Manyanet Sant Andreu,Nivell D,Dissabte,1,1,[]
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G1,B14DB7ED75,"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),Nivell C,Dissabte,Casa,2,"[1, 2]"
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G1,A6552EE84C,Escola Grevol,Escola Grevol,Nivell C,Dissabte,3,3,[]
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G1,86D9FCC0B4,"Col·legi Maristes Sants-Les Corts ""B""",Col·legi Maristes Sants-Les Corts,Nivell E,Divendres,Fora,4,[]
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,5,[]
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G1,815E69396D,"Acció Sant Martí ""A""",Acció Sant Martí,Nivell C,Divendres,Casa,6,"[3, 4]"
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G1,A7190FD0E6,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,7,7,[]
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G1,E634FE2DD8,"Escola Sagrada Familia Sant Andreu ""A""",Escola Sagrada Familia Sant Andreu,Nivell E,Divendres,8,8,[]
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G2,925DF08C2D,FS Manyanet Les Corts,Futbol Sala Manyanet Les Corts,Nivell C,Divendres,Casa,1,[]
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G2,9870DAE5C2,Col·legi Maristes Sants-Les Corts,Col·legi Maristes Sants-Les Corts,Nivell E,Divendres,,2,[]
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G2,54D2920D86,"Club Esportiu Fabra i Coats ""C""",Club Esportiu Fabra i Coats,Nivell C,Divendres,3,3,[]
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G2,1E651D09A6,"Escola Sagrada Familia Sant Andreu ""B""",Escola Sagrada Familia Sant Andreu,Nivell E,Divendres,4,4,[]
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G2,D35658298F,Institució Montserrat,Institució Montserrat,Nivell E,Divendres,Fora,5,[]
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G2,775E486D14,"The Benjamin Franklin International School ""B""",The Benjamin Franklin International School,Nivell E,Divendres,7,6,"[3, 4]"
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G2,78E4B1477C,"Club Esportiu Fabra i Coats ""B""",Club Esportiu Fabra i Coats,Nivell C,Divendres,7,7,[]
FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,G2,4238439D2B,"Escola Pere Verges ""A""",Escola Pere Verges,Nivell C,Divendres,Casa,8,[]
