Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,199BF4838A,"AMPA Escola El Sagrer ""A""",AMPA Escola El Sagrer,Nivell C,Divendres,Casa,1,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,7AB2D977A0,"Club Joventut Les Corts ""A""",Club Joventut Les Corts,Nivell A,Dissabte,Casa,2,"[(1, 'Fora', 'AMPA Escola El Sagrer ""A""'), (2, 'Casa', 'Escola Grevol')]"
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,E2B8A4A673,"FEDAC Sant Andreu CEFIC ""A""",FEDAC Sant Andreu CEFIC,Nivell C,Dissabte,3,3,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,B107759B38,EVEREST Prosperitat J,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,4,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,B69007BE31,"Escola Thau ""B""",Escola Thau,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,FD7BAB4C44,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell A,Dissabte,Casa,6,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,FFF0012A8B,"Club Esportiu Fabra i Coats ""B""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,7,7,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,3F6EB8BB69,Escola Grevol,Escola Grevol,Nivell C,Dissabte,7,8,"[(5, 'Casa', 'Club Esportiu Fabra i Coats ""B""')]"
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,4723A5BAC2,"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),Nivell E,Dissabte,Casa,1,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,E1364DE600,"Escola Thau ""A""",Escola Thau,Nivell C,Divendres,Casa,2,"[(1, 'Fora', 'Club Esportiu Laietà (Futbol 5) ""A""'), (2, 'Casa', 'Escola Calderon de la Barca AMPA ""A""')]"
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,3C269FF6F9,"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,Nivell E,Dijous,3,3,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,DUMMY-1,Dummy 1,Dummy,Dummy,,,4,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,67E4B2C428,CE Vincit-Provençalenc A,CE Vincit-Provençalenc,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,89652CC1E7,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell C,Divendres,6,6,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,D739576960,"AMPA Escola Mestre Enric Gibert i Camins ""A""",AMPA Escola Mestre Enric Gibert i Camins,Nivell E,Divendres,Casa,7,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G2,DC5FEE28E8,"Escola Calderon de la Barca AMPA ""A""",Escola Calderon de la Barca AMPA,Nivell E,Divendres,8,8,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G3,3490D7C0CA,Institució Montserrat,Institució Montserrat,Nivell E,Divendres,Casa,1,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G3,4521C1A289,Manyanet Sant Andreu,Manyanet Sant Andreu,Nivell E,Dissabte,1,2,"[(1, 'Fora', 'Institució Montserrat'), (2, 'Casa', 'Club Esportiu Fabra i Coats ""A""')]"
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G3,314DCF3278,EVEREST Prosperitat I,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,3,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G3,4EF90177A0,Associació Esportiva Babar,Associació Esportiva Babar,Nivell C,Dissabte,,4,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G3,FA1435B485,FS Manyanet Les Corts,Futbol Sala Manyanet Les Corts,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G3,877B7ADC3E,"AE Sant Andreu ""A""",AE Sant Andreu,Nivell E,Dissabte,7,6,"[(3, 'Fora', 'Club Esportiu Fabra i Coats ""A""'), (4, 'Casa', 'Escola Acacies (Acció Sant Martí)')]"
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G3,31F6F48940,Escola Acacies (Acció Sant Martí),Acció Sant Martí,Nivell D,Divendres,Casa,7,[]
FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,G3,1A74B0E5E7,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,7,8,"[(5, 'Casa', 'Escola Acacies (Acció Sant Martí)')]"
