Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,5D55A2A0AE,"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),Nivell A,Divendres,1,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,2EFE16CDAA,"AE Lycée Français ""A""",AE Lycée Français,Nivell C,Dissabte,2,2,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,84A80A08DC,Braval,Braval,Nivell A,Dissabte,3,3,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,F5E768E6E0,"Jesuïtes Gràcia - Col·legi Kostka ""Verd""",Jesuïtes Gràcia - Col·legi Kostka,Nivell C,Dissabte,4,4,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,B6731D5603,"Dominiques Barcelona ""A""",Dominiques Barcelona,Nivell D,Divendres,Fora,5,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,F8C94F5B6F,Escola La Sedeta (Valors IPP),Escola La Sedeta (Valors IPP),Nivell C,Divendres,5,6,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,950C4E9C4D,"Immaculada Concepció d'Horta - Futsal Dante ""Blau""",Immaculada Concepció d'Horta - Futsal Dante,Nivell D,Dissabte,Casa,7,[5]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G2,C8DC23BEF5,"Escola Pere Verges ""A""",Escola Pere Verges,Nivell C,Dissabte,Casa,8,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,7670397AE2,Col·legi Padre Damian Sagrados Corazones,Col·legi Padre Damian Sagrados Corazones,Nivell A,Divendres,Casa,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,80A9443E38,"AE Sant Andreu ""A""",AE Sant Andreu,Nivell C,Dissabte,1,2,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,DUMMY-4,Dummy 4,Dummy,Dummy,,,3,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,DCFD462227,"Escola Joan Miró (AE L'Eixample) ""A""",Escola Joan Miró (AE L'Eixample),Nivell C,Divendres,4,4,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,FD30591D24,"CE Vincit-Provençalenc ""D""",CE Vincit-Provençalenc,Nivell D,Divendres,Fora,5,[]
