Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G1,8A801F3FC9,CE Vincit-Provençalenc B,CE Vincit-Provençalenc,Nivell C,Divendres,Casa,1,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G1,75DBF3BE8F,"Escola Thau ""B""",Escola Thau,Nivell C,Divendres,Casa,2,"[1, 2]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G1,1045CADFED,"FC Xavi ""Groc""",FC Xavi,Nivell A,Divendres,2,3,"[3, 4]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G1,80F98997CB,"Escola Pia Balmes ""A""",Escola Pia Balmes,Nivell C,Divendres,4,4,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G1,C4C7E67E78,Col·legi Abat Oliba Loreto,Col·legi Abat Oliba Loreto,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G1,82E25F82E2,Club Esportiu Mediterrani,Club Esportiu Mediterrani,Nivell C,Divendres,Fora,6,"[1, 2]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G1,44B17C8053,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell C,Divendres,7,7,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G1,4F3C34B98F,"Artós Sports Club (FPC CET 10) ""B""",Artós Sports Club (FPC CET 10),Nivell C,Dissabte,1,8,"[6, 7]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G10,502CFDA4C4,"FC Xavi ""C""",FC Xavi,Nivell A,Dimarts,Casa,1,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G10,C0AB23534B,Futsal Dante,Futsal Dante,Nivell C,Divendres,Casa,2,"[1, 2]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G10,5844E929E1,"Escola Els Llorers (AE L'Eixample) ""A""",Escola Els Llorers (AE L'Eixample),Nivell D,Divendres,2,3,"[3, 4]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G10,37DB7140D6,"EFS Vesuvi ""A""",Trinitat Unió Esportiva,Nivell C,Divendres,4,4,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G10,7B00C3A212,"Artós Sports Club (FPC CET 10) ""C""",Artós Sports Club (FPC CET 10),Nivell D,Divendres,5,5,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G10,DUMMY-3,Dummy 3,Dummy,Dummy,,,6,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G10,AE4EDEA64C,"Fundació Escola Teresianes Ganduxer ""A""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,7,7,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G10,8D1CDCA7D7,Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),Nivell D,Divendres,1,8,"[6, 7]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,E75C71F0E0,"FC Xavi ""B""",FC Xavi,Nivell A,Divendres,1,1,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,8547CA425F,"AMPA Escola El Sagrer ""A""",AMPA Escola El Sagrer,Nivell C,Divendres,Casa,2,"[1, 2]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,54A70CE03D,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell B,Divendres,2,3,"[3, 4]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,4B4A517305,"Escola Joan Miró (AE L'Eixample) ""A""",Escola Joan Miró (AE L'Eixample),Nivell C,Divendres,4,4,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,F871E00142,"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),Nivell C,Divendres,Fora,5,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,7D9B75AB66,Escola Regina Carmeli,Escola Regina Carmeli,Nivell C,Divendres,,6,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,886D18F40B,"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),Nivell D,Divendres,8,7,[5]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G3,173B187AC4,"Escola de Futbol Sala Sant Marc de Sarrià ""A""",Escola de Futbol Sala Sant Marc de Sarrià,Nivell D,Divendres,Casa,8,"[6, 7]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,B92DF0E945,"FC Xavi ""A""",FC Xavi,Nivell A,Divendres,1,1,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,688E0719E1,"AE Sant Andreu ""A""",AE Sant Andreu,Nivell A,Dissabte,1,2,"[1, 2]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,94A106808C,"AE Lycée Français ""A""",AE Lycée Français,Nivell C,Dissabte,2,3,"[3, 4]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,6BC125F1D4,EVEREST Prosperitat D,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,4,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,7E9659F118,"Artós Sports Club (FPC CET 10) ""D""",Artós Sports Club (FPC CET 10),Nivell C,Dissabte,5,5,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,5D11BE9229,"Lycée Français de Gavà (Bon Soleil) ""C""",Lycée Français de Gavà (Bon Soleil),Nivell C,Dissabte,Casa,6,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,6D9561A224,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,7,7,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,7FD3B5B408,"ACE Sansur ""A""",ACE Sansur,Nivell C,Dissabte,Casa,8,"[6, 7]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G8,6D9625875B,"Escola Garbí ""A""",Escola Garbí,Nivell C,Divendres,Casa,1,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G8,9436074D4E,"Centre d'Estudis Montseny (FPC CET 10) ""A""",Centre d'Estudis Montseny (FPC CET 10),Nivell C,Divendres,1,2,"[1, 2]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G8,929A1D0CA1,"Club Esportiu Fabra i Coats ""B""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,3,3,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G8,9E24559595,EVEREST Prosperitat J,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,4,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G8,46D17427BB,"Club Joventut Les Corts ""A""",Club Joventut Les Corts,Nivell A,Dissabte,Fora,5,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G8,3CABB205CE,"FC Xavi ""H""",FC Xavi,Nivell A,Divendres,Indiferent,6,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G8,E41FA5D3B9,"Jesuïtes Gràcia - Col·legi Kostka ""Negre""",Jesuïtes Gràcia - Col·legi Kostka,Nivell C,Dissabte,8,7,[5]
