Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,CD9B44EAB9,"OAK House British School ""A""",OAK House British School,Nivell D,Divendres,1,1,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,2,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,5FA8B3AB7B,"AI Estel Vallseca ""A""",AI Estel Vallseca,Nivell E,Divendres,3,3,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,4,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,194F47352F,Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),Nivell C,Divendres,5,5,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,6,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,A7251753E8,"Club Esportiu Fabra i Coats ""B""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,7,7,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,9710563EED,Associació Can Baró Cultural,Associació Can Baró Cultural,Nivell E,Divendres,Casa,8,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,3F36168C39,"ACE Sansur ""A""",ACE Sansur,Nivell C,Dissabte,Casa,1,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,A900CEA3DA,"Club Futbol Sala Palmasec 2021 ""A""",Club Futbol Sala Palmasec 2021,Nivell E,Divendres,Fora,2,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,8B0E3F3D48,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,3,3,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,DUMMY-4,Dummy 4,Dummy,Dummy,,,4,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,3F328BEFDE,"Escola de Futbol Sala APC Raval (AECV) ""A""",Escola de Futbol Sala APC Raval (AECV),Nivell D,Dissabte,5,5,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,DUMMY-5,Dummy 5,Dummy,Dummy,,,6,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,DUMMY-6,Dummy 6,Dummy,Dummy,,,7,[]
FUTBOL 5 PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,DUMMY-7,Dummy 7,Dummy,Dummy,,,8,[]
