Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G5,0D3D939EF2,"ACE Sansur ""A""",ACE Sansur,Nivell A,Dissabte,Casa,1,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G5,71A040CBAE,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell C,Divendres,2,2,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G5,3B1A96225B,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,3,3,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G5,DD84108C6B,Immaculada Concepció d'Horta - Futsal Dante,Immaculada Concepció d'Horta - Futsal Dante,Nivell D,Dissabte,Fora,4,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G5,4FD221DEE3,"Escola Thau ""B""",Escola Thau,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G5,526F3DE726,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell B,Dissabte,Casa,6,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G5,DUMMY-4,Dummy 4,Dummy,Dummy,,,7,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G5,B2EF2150F2,Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),Nivell C,Dissabte,1,8,"[6, 7]"
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,3F162EB2CE,CE Vincit-Provençalenc A,CE Vincit-Provençalenc,Nivell D,Divendres,Casa,1,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,2,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,6DC638D58D,"Escola Brasil (FPC CET 10) ""A""",Escola Brasil (FPC CET 10),Nivell C,Divendres,Fora,3,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,D041A1515C,"Sant Peter´s School ""C""",Sant Peter´s School,Nivell C,Divendres,Fora,4,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,5B43CC78F2,"Escola Garbí ""A""",Escola Garbí,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,8F0CB7337C,"Escola de Futbol Sala APC Raval (AECV) ""A""",Escola de Futbol Sala APC Raval (AECV),Nivell B,Divendres,5,6,"[1, 2]"
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,070B849EA1,"Kinobs Sports SLU ""A""",Kinobs Sports SLU,Nivell E,Divendres,7,7,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G1,DFE042BE06,Associació Can Baró Cultural,Associació Can Baró Cultural,,Divendres,,8,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,699D8CD1C8,Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),Nivell D,Divendres,1,1,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,EC246B6999,Associacio Esportiva de Gracia,Associacio Esportiva de Gracia,Nivell B,Divendres,2,2,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,8E399E93C8,"Club Esportiu Fabra i Coats ""B""",Club Esportiu Fabra i Coats,Nivell C,Dissabte,3,3,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,9E9A6DF5AB,"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,Nivell E,Dissabte,3,4,[5]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,DDEBD44F19,EE Pegaso-Viana ''B'',7 d'Aventura,Nivell E,Dissabte,5,5,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,1974EBBC70,"Escola Proa ""A""",Escola Proa,Nivell E,Divendres,5,6,"[1, 2]"
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,FC64B3B9AA,"Institut Caterina Albert (FPC CET 10) ""A""",Institut Caterina Albert (FPC CET 10),Nivell E,Divendres,Casa,7,[]
FUTBOL 5 PREINFANTIL MIXT 1ª FASE CEEB,G2,DUMMY-5,Dummy 5,Dummy,Dummy,,,8,[]
