Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,DEC42289FA,"Col·legi SAFA Horta ""A""",Col·legi SAFA Horta,Nivell A,Dissabte,Casa,1,[]
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,3698EF1E88,"Escola La Flor de Maig ""Blanc""",Escola L'Arenal de Llevant,Nivell A,Divendres,1,2,"[1, 2]"
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,9B7BF75D1E,"Col·legi Sagrado Corazón (Corazonistas) ""A""",Col·legi Sagrado Corazón (Corazonistas),Nivell A,Divendres,,3,[]
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,4,[]
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,4379095D6C,"Associacio Sant Marti Esport ""B""",Associacio Sant Marti Esport,Nivell E,Dissabte,Fora,5,[]
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,6,[]
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,3090BAF612,"Escola Virolai ""A""",Escola Virolai,Nivell A,Divendres,7,7,[]
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G1,57E84FD55A,"Escola Voramar ""A""",Escola Voramar,Nivell C,Dissabte,1,8,"[6, 7]"
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,59501F999A,"Escola L'Arenal de Llevant ""A""",Escola L'Arenal de Llevant,Nivell A,Divendres,1,1,[]
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,709EEE5E0E,"Escola La Flor de Maig ""Negre""",Escola L'Arenal de Llevant,Nivell A,Divendres,1,2,"[1, 2]"
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,FEB9C63FE2,"AE Lycée Français ""A""",AE Lycée Français,Nivell E,Dissabte,2,3,"[3, 4]"
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,DUMMY-3,Dummy 3,Dummy,Dummy,,,4,[]
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,2C0D06BC5B,"Escola Voramar ""B""",Escola Voramar,Nivell C,Dissabte,5,5,[]
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,DUMMY-4,Dummy 4,Dummy,Dummy,,,6,[]
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,CD08B4AC7F,"Club Handbol Claret-Gràcia ""A""",Club Handbol Claret-Gràcia,Nivell A,Dissabte,Casa,7,[5]
HANDBOL BENJAMÍ MIXT 1ª FASE CEEB,G2,C4FEFF80E2,"Associacio Sant Marti Esport ""A""",Associacio Sant Marti Esport,Nivell E,Dissabte,Casa,8,"[6, 7]"
