Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G3,4812775713,"Club Joventut Les Corts ""Groc""",Club Joventut Les Corts,Nivell A,Dissabte,Casa,1,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G3,7027833546,"AE Lycée Français ""A""",AE Lycée Français,Nivell C,Dissabte,2,2,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G3,AAEC63CE8E,"Escola Costa i Llobera (AE Can Caralleu) ""Groc""",Escola Costa i Llobera (AE Can Caralleu),Nivell B,Dissabte,3,3,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G3,4C503A0DD7,Col·legi Santa Dorotea,Col·legi Santa Dorotea,Nivell C,Divendres,Fora,4,[5]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G3,108F058541,"Centre d'Estudis Montseny (FPC CET 10) ""A""",Centre d'Estudis Montseny (FPC CET 10),Nivell C,Divendres,5,5,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G3,7EEBD7725C,"AFA La Llacuna del Poblenou ""Blau""",AFA La Llacuna del Poblenou,Nivell B,Dissabte,Indiferent,6,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G3,64B0F868BE,"Fundació Escola Teresianes Ganduxer ""B""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,7,7,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G3,8F65479332,"AEE Institut Jaume Balmes ""B""",AEE Institut Jaume Balmes,Nivell C,Dissabte,8,8,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,311443396A,"Escola Proa ""Blau""",Escola Proa,Nivell D,Divendres,1,1,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,FB96BBE1BB,Escola La Sedeta (Valors IPP) A,Escola La Sedeta (Valors IPP),Nivell B,Divendres,1,2,"[1, 2]"
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,F3CA06A1B3,"Fundació Escola Teresianes Ganduxer ""A""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,3,3,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,F8A8A49D73,"Secció Esportiva La Salle Bonanova ""A""",Secció Esportiva La Salle Bonanova,Nivell A,Divendres,3,4,[5]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,807B20BA5C,"Club Joventut Les Corts ""Negre""",Club Joventut Les Corts,Nivell A,Dissabte,Fora,5,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,9F6BE8AF27,Volei els Arcs,Volei els Arcs,Nivell A,Divendres,6,6,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,23306006BB,"Fundació AMPA Lestonnac ""A""",Fundació AMPA Lestonnac,Nivell A,Divendres,8,7,[5]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G4,805BBCA086,"Club Voleibol Sant Andreu (7 d'Aventura) ""Verd""",Club Voleibol Sant Andreu (7 d'Aventura),Nivell A,Divendres,1,8,"[6, 7]"
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G1,29A11B3528,"Escola Proa ""Groc""",Escola Proa,Nivell E,Divendres,1,1,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G1,6720E228DB,"JesuÏtes Sarria-Sant Ignasi ""Negre""",JesuÏtes Sarria-Sant Ignasi,Nivell B,Divendres,1,2,"[1, 2]"
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G1,D87362DAF5,The Benjamin Franklin International School,The Benjamin Franklin International School,Nivell E,Dijous,3,3,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G1,9EF25A10BF,Sant Peter´s School,Sant Peter´s School,Nivell C,Divendres,Fora,4,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G1,B386FF8EFB,Escola Augusta,Escola Augusta,Nivell D,Divendres,Fora,5,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,6,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G1,E12A7259A9,"Escola Virolai ""A""",Escola Virolai,Nivell E,Divendres,7,7,[]
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G1,111CF1C02C,Col·legi Abat Oliba Loreto B,Col·legi Abat Oliba Loreto,Nivell C,Divendres,Casa,8,"[6, 7]"
VOLEIBOL ALEVÍ MIXT 1ª FASE CEEB,G5,1D344E5A40,Escola La Sedeta (Valors IPP) B,Escola La Sedeta (Valors IPP),Nivell E,Divendres,1,1,[]
