Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,09EAA32EE7,"Club Joventut Les Corts ""Groc""",Club Joventut Les Corts,Nivell A,Dissabte,Casa,1,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,CC1CAB479C,"Club Voleibol Sant Andreu (7 d'Aventura) ""Verd""",Club Voleibol Sant Andreu (7 d'Aventura),Nivell A,Divendres,1,2,"[1, 2]"
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,DUMMY-5,Dummy 5,Dummy,Dummy,,,3,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,3949609AC4,"Col·legi Sagrat Cor Sarrià ""Verd""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,4,4,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,67B1E2CD34,"JesuÏtes Sarria-Sant Ignasi ""Vermell""",JesuÏtes Sarria-Sant Ignasi,Nivell A,Divendres,5,5,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,38C3E7E3B1,"Escola Avenç ""Blau""",Escola Avenç,Nivell C,Divendres,5,6,"[1, 2]"
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,3381C3E2B1,"Fundació Escola Teresianes Ganduxer ""A""",Fundació Escola Teresianes Ganduxer,Nivell A,Divendres,7,7,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G1,2974211D33,"AEE Institut Menéndez i Pelayo ""A""",AEE Institut Menendez i Pelayo,Nivell B,Divendres,8,8,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,B01B81638C,"Club Voleibol Sant Andreu (7 d'Aventura) ""A""",Club Voleibol Sant Andreu (7 d'Aventura),Nivell A,Dissabte,1,1,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,0558949F83,"CELH (A. Rumbau) ""Verd""",CELH (A. Rumbau),Nivell C,Dissabte,,2,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,554605FC36,"Col·legi Sagrat Cor Sarrià ""Blau""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,4,3,[5]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,E401D47DA1,"AEE Institut Jaume Balmes ""B""",AEE Institut Jaume Balmes,Nivell D,Divendres,4,4,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,DC4A551B4D,"Club Joventut Les Corts ""Verd""",Club Joventut Les Corts,Nivell A,Dissabte,Fora,5,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,C94F8DF736,"CV Barcelona GIP ""Grana""",CV Barcelona GIP,Nivell C,Dissabte,Fora,6,"[1, 2]"
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,DUMMY-3,Dummy 3,Dummy,Dummy,,,7,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G4,9A0A1B7F96,"Fundació AMPA Lestonnac ""A""",Fundació AMPA Lestonnac,Nivell B,Divendres,8,8,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,D2053BC4BA,"Escolapis Sarrià ""A""",Escolapis Sarrià,Nivell D,Divendres,Casa,1,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,DUMMY-2,Dummy 2,Dummy,Dummy,,,2,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,A332106F07,"The Benjamin Franklin International School ""C""",The Benjamin Franklin International School,Nivell E,Divendres,3,3,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,07A6F7C89C,Scala Dei-CV Sant Andreu,7 d'Aventura,Nivell E,Divendres,4,4,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,BF27185FEE,Centre d'Estudis Montseny (FPC CET 10),Centre d'Estudis Montseny (FPC CET 10),Nivell B,Divendres,5,5,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,DBCDCEB16C,"CES Bosco Horta ""A""",CES Bosco Horta,Nivell E,Divendres,Casa,6,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,FA74E29BE4,"Secció Esportiva La Salle Bonanova ""Negre""",Secció Esportiva La Salle Bonanova,Nivell B,Divendres,7,7,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G2,6021BEE5F1,"AEE Institut Jaume Balmes ""C""",AEE Institut Jaume Balmes,Nivell C,Divendres,8,8,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,1220DFEDFD,EE Pegaso Viana-CV Sant Andreu,7 d'Aventura,Nivell E,Dissabte,1,1,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,A809817225,"Escola Súnion ""A""",Escola Súnion,Nivell E,Dissabte,2,2,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,53E46CE752,"The Benjamin Franklin International School ""B""",The Benjamin Franklin International School,Nivell E,Divendres,3,3,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,DUMMY-1,Dummy 1,Dummy,Dummy,,,4,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,AB58135EB7,"Associacio Sant Marti Esport ""A""",Associacio Sant Marti Esport,Nivell E,Divendres,Fora,5,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,A3656C78B2,"CELH (A. Rumbau) ""Vermell""",CELH (A. Rumbau),Nivell C,Dissabte,,6,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,B44D948C0F,"Escola Virolai ""B""",Escola Virolai,Nivell E,Dissabte,7,7,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G3,DUMMY-6,Dummy 6,Dummy,Dummy,,,8,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,773E418FBC,Escola Pia Sant Miquel,Escola Pia Sant Miquel,Nivell E,Dissabte,1,1,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,DUMMY-4,Dummy 4,Dummy,Dummy,,,2,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,C8BBC31128,"Escola Virolai ""A""",Escola Virolai,Nivell E,Dissabte,3,3,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,BEB68E183E,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell C,Divendres,4,4,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,6A185D9392,"Escola Garbí ""A""",Escola Garbí,Nivell C,Divendres,Fora,5,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,ED243C1E7E,"CV Barcelona GIP ""Blau""",CV Barcelona GIP,Nivell C,Dijous,Fora,6,"[1, 2]"
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,ABDCC0B84C,"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,Nivell E,Dijous,7,7,[]
VOLEIBOL CADET FEMENÍ 1ª FASE CEEB,G5,DUMMY-7,Dummy 7,Dummy,Dummy,,,8,[]
