Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,DUMMY-3,Dummy 3,Dummy,Dummy,,,1,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,749262D3A3,"AE Lycée Français ""A""",AE Lycée Français,Nivell A,Dissabte,2,2,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,04A10B8D3E,"Institut Viladomat - TEAM ""A""",Institut Viladomat - TEAM,Nivell E,Divendres,Fora,3,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,95B0F83454,"Sant Peter´s School ""A""",Sant Peter´s School,Nivell C,Divendres,Fora,4,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,42855D5BF7,EE Pegaso Viana-CV Sant Andreu,7 d'Aventura,Nivell E,Divendres,5,5,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,DUMMY-5,Dummy 5,Dummy,Dummy,,,6,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,DUMMY-6,Dummy 6,Dummy,Dummy,,,7,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G2,DUMMY-7,Dummy 7,Dummy,Dummy,,,8,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,1,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,FA725ED462,Ins Martí Pous-CV Sant Andreu,7 d'Aventura,Nivell E,Divendres,2,2,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,11B5F181E7,"The Benjamin Franklin International School ""E""",The Benjamin Franklin International School,Nivell E,Divendres,3,3,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,DUMMY-4,Dummy 4,Dummy,Dummy,,,4,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,36FDDF1236,Institut Goya SPOT,Àngels Roig SPOT,Nivell E,Divendres,5,5,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,7CCB937D79,"Escola Proa ""Verd""",Escola Proa,Nivell D,Divendres,5,6,"[1, 2]"
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,2A0097EA50,Institut Infanta Isabel d'Aragó-CV Sant Andreu,7 d'Aventura,Nivell E,Divendres,7,7,[]
VOLEIBOL CADET MIXT 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,8,[]
