Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,21F8960489,Col·legi Abat Oliba Loreto A,Col·legi Abat Oliba Loreto,Nivell C,Divendres,Casa,1,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,CA935FC73A,"AE Lycée Français ""B""",AE Lycée Français,Nivell A,Dissabte,2,2,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,C8E63E3EE2,Institut Infanta Isabel d'Aragó-CV Sant Andreu''B'',7 d'Aventura,Nivell E,Divendres,3,3,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,974C0734BD,"AEE Institut Josep Pla ""Groc""",AEE Institut Josep Pla,Nivell B,Divendres,4,4,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,9F28EC5D8B,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,4,5,"[6, 7]"
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,6,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,40216482F6,"AEE Institut Jaume Balmes ""B""",AEE Institut Jaume Balmes,Nivell C,Divendres,8,7,[5]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G1,20CFA1AB6C,"Escola Avenç ""Negre""",Escola Avenç,Nivell C,Divendres,1,8,"[6, 7]"
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G2,5A5413B64F,EE Pegaso Viana-CV Sant Andreu,7 d'Aventura,Nivell E,Dissabte,1,1,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G2,C3AFB2933B,"AEE Institut Josep Pla ""Negre""",AEE Institut Josep Pla,Nivell A,Divendres,2,2,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G2,313E52DDC0,Institut Infanta Isabel d'Aragó-CV Sant Andreu ''A'',7 d'Aventura,Nivell E,Divendres,3,3,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G2,B636B81190,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell C,Divendres,4,4,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G2,D9576D65B9,"CV Barcelona GIP ""Grana""",CV Barcelona GIP,Nivell C,Divendres,Fora,5,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G2,DUMMY-1,Dummy 1,Dummy,Dummy,,,6,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G2,6B62D814F6,"Fundació AMPA Lestonnac ""A""",Fundació AMPA Lestonnac,Nivell D,Divendres,8,7,[5]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G2,288EA4F55E,"Aula Escola Europea ""A""",Aula Escola Europea,Nivell C,Dissabte,1,8,"[6, 7]"
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G3,2C97FE7F1B,"Escola Proa ""Vermell""",Escola Proa,Nivell D,Divendres,1,1,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G3,27C7276093,"AE Lycée Français ""A""",AE Lycée Français,Nivell A,Dissabte,2,2,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G3,19C821D9CA,"Secció Esportiva La Salle Bonanova ""A""",Secció Esportiva La Salle Bonanova,Nivell B,Divendres,3,3,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G3,922BD5119C,Club Esportiu DMS,Club Esportiu DMS,Nivell A,Divendres,Fora,4,[5]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G3,BA4C5D44F8,"Club Voleibol Sant Andreu (7 d'Aventura) ""Vermell""",Club Voleibol Sant Andreu (7 d'Aventura),Nivell A,Dissabte,5,5,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G3,BF72D68B30,IE Tramuntana-CV Sant Andreu,7 d'Aventura,Nivell E,Dissabte,6,6,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G3,04486B6E4D,"CELH (A. Rumbau) ""Vermell""",CELH (A. Rumbau),Nivell C,Dissabte,,7,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G3,BC2227BA47,"Club Joventut Les Corts ""Groc""",Club Joventut Les Corts,Nivell A,Dissabte,Casa,8,"[6, 7]"
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,1072637837,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell E,Divendres,Fora,1,"[1, 2]"
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,DF78985606,"Escola Súnion ""A""",Escola Súnion,Nivell E,Dissabte,2,2,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,4EB22771A6,"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,Nivell E,Divendres,3,3,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,77C3A04674,"Jesuïtes Gràcia - Col·legi Kostka ""Verd""",Jesuïtes Gràcia - Col·legi Kostka,Nivell D,Dissabte,4,4,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,5EE4A2E927,Ins Alzina-CV Sant Andreu,7 d'Aventura,Nivell E,Dissabte,5,5,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,ADC34D42C8,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell E,Divendres,6,6,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,A40E765F3A,"CELH (A. Rumbau) ""Verd""",CELH (A. Rumbau),Nivell E,Dissabte,,7,[]
VOLEIBOL INFANTIL FEMENÍ 1ª FASE CEEB,G4,CF5999C285,"Associacio Sant Marti Esport ""A""",Associacio Sant Marti Esport,Nivell E,Divendres,1,8,"[6, 7]"
