Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,04C5758DD3,"Col·legi SAFA Horta ""A""",Col·legi SAFA Horta,Nivell E,Divendres,Casa,1,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,2,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,1FB300B690,Col·legi Santa Dorotea,Col·legi Santa Dorotea,Nivell B,Divendres,Fora,3,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,DB17907663,"Escola Pia Nostra Senyora ""B""",Escola Pia Nostra Senyora,Nivell E,Divendres,,4,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,5947404317,"Escola Proa ""Blau""",Escola Proa,Nivell D,Divendres,5,5,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,DCE174A609,Ins Martí Pous-CV Sant Andreu,7 d'Aventura,Nivell E,Divendres,6,6,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,02B238B7C4,"Institut Ernest Lluch (AE L'Eixample) ""A""",Institut Ernest Lluch (AE L'Eixample),Nivell C,Divendres,8,7,[5]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G1,FE036395B4,"AEE Institut Jaume Balmes ""C""",AEE Institut Jaume Balmes,Nivell C,Divendres,8,8,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,2F7FF85693,"Pam Roig (FPC CET 10) ""A""",Pam Roig (FPC CET 10),Nivell E,Divendres,Casa,1,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,478D6EEB0A,"Escola Pia Nostra Senyora ""A""",Escola Pia Nostra Senyora,Nivell E,Divendres,,2,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,DUMMY-2,Dummy 2,Dummy,Dummy,,,3,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,29294913B7,"ACE Sansur ""A""",ACE Sansur,Nivell C,Divendres,Fora,4,"[6, 7]"
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,2CD6770E2E,Institut Goya SPOT,Àngels Roig SPOT,Nivell E,Divendres,5,5,[]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,08F257A85B,"Institut Caterina Albert (FPC CET 10) ""A""",Institut Caterina Albert (FPC CET 10),Nivell E,Divendres,Casa,6,"[3, 4]"
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,9F6245F987,"Institut Ernest Lluch (AE L'Eixample) ""B""",Institut Ernest Lluch (AE L'Eixample),Nivell C,Divendres,8,7,[5]
VOLEIBOL INFANTIL MIXT 1ª FASE CEEB,G2,E96CE7CE23,"AEE Institut Jaume Balmes ""D""",AEE Institut Jaume Balmes,Nivell C,Divendres,8,8,[]
