Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,1,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,124152205A,"AEE Institut Josep Pla ""Negre""",AEE Institut Josep Pla,Nivell A,Divendres,2,2,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,ED4487557B,"Institut Viladomat - TEAM ""A""",Institut Viladomat - TEAM,Nivell D,Divendres,Fora,3,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,459AC79028,"Escolapis Sarrià ""A""",Escolapis Sarrià,Nivell D,Divendres,Fora,4,"[6, 7]"
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,5013D94BA8,"Escola Proa ""Negre""",Escola Proa,Nivell C,Dissabte,5,5,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,76F7731325,"Club Voleibol Sant Andreu (7 d'Aventura) ""Verd""",Club Voleibol Sant Andreu (7 d'Aventura),Nivell B,Divendres,5,6,"[1, 2]"
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,139BF58E98,"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,Nivell E,Divendres,7,7,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G1,F7FDC9D9FA,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell C,Divendres,8,8,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,67CC7A6B3D,Col·legi Padre Damian Sagrados Corazones,Col·legi Padre Damian Sagrados Corazones,Nivell A,Divendres,Casa,1,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,0B051B75C7,"AE Lycée Français ""A""",AE Lycée Français,Nivell A,Dissabte,2,2,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,E633AA9CB7,CELH (A. Rumbau),CELH (A. Rumbau),Nivell C,Dissabte,,3,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,09D9A7BFAB,"CV Barcelona GIP ""Grana""",CV Barcelona GIP,Nivell C,Dissabte,Fora,4,"[6, 7]"
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,FE3D77FEAC,"Club Joventut Les Corts ""Groc""",Club Joventut Les Corts,Nivell A,Dissabte,Fora,5,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,245CCF38AC,"Escola Súnion ""A""",Escola Súnion,Nivell A,Dissabte,6,6,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,C63ADA0F5B,"Fundació Escola Teresianes Ganduxer ""A""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,7,7,[]
VOLEIBOL JUVENIL FEMENÍ 1ª FASE CEEB,G2,5D84B6CE26,"Fundació AMPA Lestonnac ""A""",Fundació AMPA Lestonnac,Nivell A,Divendres,8,8,[]
