Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,1,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,E48F2B674B,"AE Lycée Français ""A""",AE Lycée Français,Nivell A,Dissabte,2,2,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,6D2CEA62E2,"Fundació Escola Teresianes Ganduxer ""B""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,3,3,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,9D5AEB018B,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,4,4,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,DUMMY-6,Dummy 6,Dummy,Dummy,,,5,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,F9A91CEE11,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell C,Divendres,6,6,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,5286B3A3D7,Institut Infanta Isabel d'Aragó-CV Sant Andreu,7 d'Aventura,Nivell E,Divendres,7,7,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G1,DUMMY-7,Dummy 7,Dummy,Dummy,,,8,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G3,CEC8AEB42D,"Escola Avenç ""Vermell""",Escola Avenç,Nivell B,Divendres,1,1,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G3,DUMMY-4,Dummy 4,Dummy,Dummy,,,2,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G3,DC2DF0A56F,"Escola Virolai ""A""",Escola Virolai,Nivell E,Divendres,3,3,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G3,DUMMY-5,Dummy 5,Dummy,Dummy,,,4,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G3,A58C04B9B9,Centre d'Estudis Montseny (FPC CET 10),Centre d'Estudis Montseny (FPC CET 10),Nivell C,Divendres,5,5,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G3,147CCDC874,Ins Martí Pous-CV Sant Andreu,7 d'Aventura,Nivell E,Divendres,6,6,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G3,CBD5B2CA30,"Fundació Escola Teresianes Ganduxer ""A""",Fundació Escola Teresianes Ganduxer,Nivell C,Divendres,7,7,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G3,942B6E1399,"Fundació AMPA Lestonnac ""A""",Fundació AMPA Lestonnac,Nivell D,Divendres,8,8,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,FB51030749,"Escola Pia Sant Miquel ""A""",Escola Pia Sant Miquel,Nivell E,Dissabte,1,1,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,4B16AD85AB,CELH (A. Rumbau) Blau,CELH (A. Rumbau),Nivell C,Dissabte,,2,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,D79468B63B,Institut Infanta Isabel d'Aragó-CV Sant Andreu ''B'',7 d'Aventura,Nivell E,Divendres,3,3,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,7F0677A995,"AEE Institut Jaume Balmes ""A""",AEE Institut Jaume Balmes,Nivell D,Dissabte,4,4,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,DUMMY-2,Dummy 2,Dummy,Dummy,,,5,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,21AA78370F,"Escola Suïssa de Barcelona ""A""",Escola Suïssa de Barcelona,Nivell E,Divendres,6,6,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,68D5973F7A,"The Benjamin Franklin International School ""A""",The Benjamin Franklin International School,Nivell E,Dijous,7,7,[]
VOLEIBOL PREINFANTIL FEMENÍ 1ª FASE CEEB,G2,DUMMY-3,Dummy 3,Dummy,Dummy,,,8,[]
