Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,3D3813FC1F,EE Pegaso Viana-CV Sant Andreu ''A'',7 d'Aventura,Nivell E,Divendres,1,1,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,2,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,39EA129DDC,Col·legi Santa Dorotea,Col·legi Santa Dorotea,Nivell B,Divendres,Fora,3,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,4FC83ADA78,"Jesuïtes Gràcia - Col·legi Kostka ""Verd""",Jesuïtes Gràcia - Col·legi Kostka,Nivell D,Divendres,4,4,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,26ED9D7099,Ins Alzina - IE 30 Passos (C.V Sant Andreu),7 d'Aventura,Nivell E,Divendres,5,5,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,CCA6681FD3,"CES Bosco Horta ""A""",CES Bosco Horta,Nivell E,Divendres,Casa,6,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,7,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G1,4013AD897B,"AEE Institut Jaume Balmes ""B""",AEE Institut Jaume Balmes,Nivell C,Dissabte,8,8,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,5D32AA75CA,EE Pegaso Viana-CV Sant Andreu ''B'',7 d'Aventura,Nivell E,Dissabte,1,1,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,E3BEB58D7A,"AE Lycée Français ""B""",AE Lycée Français,Nivell C,Dissabte,2,2,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,EB366A2E1F,"IES Poeta Maragall ""A""",IES Poeta Maragall,Nivell E,Divendres,Fora,3,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,8284D2E549,"Institut Viladomat - TEAM ""A""",Institut Viladomat - TEAM,Nivell E,Divendres,Fora,4,[5]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,DUMMY-3,Dummy 3,Dummy,Dummy,,,5,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,DUMMY-4,Dummy 4,Dummy,Dummy,,,6,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,DUMMY-5,Dummy 5,Dummy,Dummy,,,7,[]
VOLEIBOL PREINFANTIL MIXT 1ª FASE CEEB,G2,36C4F10C18,"AEE Institut Jaume Balmes ""C""",AEE Institut Jaume Balmes,Nivell C,Dissabte,8,8,[]
